,well,amount
1,A1,200
2,A2,375
3,A3,0
4,A4,0
5,A5,0
6,A6,1275
7,A7,0
8,A8,0
9,A9,0
10,A10,1275
11,A11,0
12,A12,0
13,B1,0
14,B2,200
15,B3,0
16,B4,0
17,B5,375
18,B6,0
19,B7,0
20,B8,0
21,B9,0
22,B10,0
23,B11,200
24,B12,1275
25,C1,0
26,C2,0
27,C3,375
28,C4,375
29,C5,1275
30,C6,0
31,C7,0
32,C8,200
33,C9,0
34,C10,0
35,C11,0
36,C12,0
37,D1,200
38,D2,375
39,D3,0
40,D4,0
41,D5,0
42,D6,1275
43,D7,0
44,D8,0
45,D9,0
46,D10,1275
47,D11,0
48,D12,0
49,E1,0
50,E2,200
51,E3,0
52,E4,0
53,E5,375
54,E6,0
55,E7,0
56,E8,0
57,E9,0
58,E10,0
59,E11,200
60,E12,1275
61,F1,0
62,F2,0
63,F3,375
64,F4,375
65,F5,1275
66,F6,0
67,F7,0
68,F8,200
69,F9,0
70,F10,0
71,F11,0
72,F12,0
73,G1,NA
74,G2,NA
75,G3,NA
76,G4,NA
77,G5,NA
78,G6,NA
79,G7,NA
80,G8,NA
81,G9,NA
82,G10,NA
83,G11,NA
84,G12,NA
85,H1,NA
86,H2,NA
87,H3,500
88,H4,500
89,H5,500
90,H6,500
91,H7,500
92,H8,500
93,H9,500
94,H10,500
95,H11,500
96,H12,500
97,A13,200
98,A14,375
99,A15,0
100,A16,0
101,A17,0
102,A18,1275
103,A19,0
104,A20,0
105,A21,0
106,A22,1275
107,A23,0
108,A24,0
109,B13,0
110,B14,200
111,B15,0
112,B16,0
113,B17,375
114,B18,0
115,B19,0
116,B20,0
117,B21,0
118,B22,0
119,B23,200
120,B24,1275
121,C13,0
122,C14,0
123,C15,375
124,C16,375
125,C17,1275
126,C18,0
127,C19,0
128,C20,200
129,C21,0
130,C22,0
131,C23,0
132,C24,0
133,D13,200
134,D14,375
135,D15,0
136,D16,0
137,D17,0
138,D18,1275
139,D19,0
140,D20,0
141,D21,0
142,D22,1275
143,D23,0
144,D24,0
145,E13,0
146,E14,200
147,E15,0
148,E16,0
149,E17,375
150,E18,0
151,E19,0
152,E20,0
153,E21,0
154,E22,0
155,E23,200
156,E24,1275
157,F13,0
158,F14,0
159,F15,375
160,F16,375
161,F17,1275
162,F18,0
163,F19,0
164,F20,200
165,F21,0
166,F22,0
167,F23,0
168,F24,0
169,G13,NA
170,G14,NA
171,G15,NA
172,G16,NA
173,G17,NA
174,G18,NA
175,G19,NA
176,G20,NA
177,G21,NA
178,G22,NA
179,G23,NA
180,G24,NA
181,H13,NA
182,H14,NA
183,H15,500
184,H16,500
185,H17,500
186,H18,500
187,H19,500
188,H20,500
189,H21,500
190,H22,500
191,H23,500
192,H24,500
193,I1,1425
194,I2,750
195,I3,975
196,I4,0
197,I5,650
198,I6,0
199,I7,0
200,I8,0
201,I9,0
202,I10,0
203,I11,0
204,I12,750
205,J1,0
206,J2,0
207,J3,975
208,J4,1425
209,J5,0
210,J6,650
211,J7,0
212,J8,0
213,J9,0
214,J10,1400
215,J11,0
216,J12,0
217,K1,1425
218,K2,975
219,K3,0
220,K4,975
221,K5,0
222,K6,0
223,K7,0
224,K8,750
225,K9,0
226,K10,1425
227,K11,650
228,K12,0
229,L1,1425
230,L2,750
231,L3,975
232,L4,0
233,L5,650
234,L6,0
235,L7,0
236,L8,0
237,L9,0
238,L10,0
239,L11,0
240,L12,750
241,M1,0
242,M2,0
243,M3,975
244,M4,1425
245,M5,0
246,M6,650
247,M7,0
248,M8,0
249,M9,0
250,M10,1400
251,M11,0
252,M12,0
253,N1,1425
254,N2,975
255,N3,0
256,N4,975
257,N5,0
258,N6,0
259,N7,0
260,N8,750
261,N9,0
262,N10,1425
263,N11,650
264,N12,0
265,O1,NA
266,O2,NA
267,O3,NA
268,O4,NA
269,O5,NA
270,O6,NA
271,O7,NA
272,O8,NA
273,O9,NA
274,O10,NA
275,O11,NA
276,O12,NA
277,P1,NA
278,P2,NA
279,P3,500
280,P4,500
281,P5,500
282,P6,500
283,P7,500
284,P8,500
285,P9,500
286,P10,500
287,P11,500
288,P12,500
289,I13,1425
290,I14,750
291,I15,975
292,I16,0
293,I17,650
294,I18,0
295,I19,0
296,I20,0
297,I21,0
298,I22,0
299,I23,0
300,I24,750
301,J13,0
302,J14,0
303,J15,975
304,J16,1425
305,J17,0
306,J18,650
307,J19,0
308,J20,0
309,J21,0
310,J22,1400
311,J23,0
312,J24,0
313,K13,1425
314,K14,975
315,K15,0
316,K16,975
317,K17,0
318,K18,0
319,K19,0
320,K20,750
321,K21,0
322,K22,1425
323,K23,650
324,K24,0
325,L13,1425
326,L14,750
327,L15,975
328,L16,0
329,L17,650
330,L18,0
331,L19,0
332,L20,0
333,L21,0
334,L22,0
335,L23,0
336,L24,750
337,M13,0
338,M14,0
339,M15,975
340,M16,1425
341,M17,0
342,M18,650
343,M19,0
344,M20,0
345,M21,0
346,M22,1400
347,M23,0
348,M24,0
349,N13,1425
350,N14,975
351,N15,0
352,N16,975
353,N17,0
354,N18,0
355,N19,0
356,N20,750
357,N21,0
358,N22,1425
359,N23,650
360,N24,0
361,O13,NA
362,O14,NA
363,O15,NA
364,O16,NA
365,O17,NA
366,O18,NA
367,O19,NA
368,O20,NA
369,O21,NA
370,O22,NA
371,O23,NA
372,O24,NA
373,P13,NA
374,P14,NA
375,P15,500
376,P16,500
377,P17,500
378,P18,500
379,P19,500
380,P20,500
381,P21,500
382,P22,500
383,P23,500
384,P24,500
