"","well","amount_covid","amount_flu_a","amount_flu_b","amount_rsv"
"198","I6","1000","725","0","0"
"199","I7","975","0","0","0"
"200","I8","0","0","150","1475"
"201","I9","100","0","1325","825"
"202","I10","0","0","150","1425"
"203","I11","500","725","25","775"
"204","I12","0","0","1325","0"
"205","J1","1100","0","0","1250"
"206","J2","300","625","500","50"
"207","J3","975","0","800","0"
"208","J4","0","325","0","0"
"209","J5","100","1200","0","0"
"210","J6","0","0","675","625"
"211","J7","300","475","0","0"
"212","J8","0","0","1325","625"
"213","J9","975","0","675","875"
"214","J10","0","0","25","425"
"215","J11","0","625","0","0"
"216","J12","900","0","0","775"
"217","K1","600","1050","500","0"
"218","K2","0","725","150","1425"
"219","K3","200","0","800","0"
"220","K4","0","0","1325","825"
"221","K5","0","0","0","825"
"222","K6","500","1200","800","0"
"223","K7","0","0","0","1050"
"224","K8","200","625","0","0"
"225","K9","400","0","850","1425"
"226","K10","0","325","0","0"
"227","K11","900","725","0","0"
"228","K12","975","0","500","0"
"229","L1","0","1675","0","425"
"230","L2","0","0","0","0"
"231","L3","900","475","525","625"
"232","L4","0","0","1475","0"
"233","L5","0","0","0","775"
"234","L6","1000","725","0","0"
"235","L7","975","0","0","0"
"236","L8","0","0","150","1475"
"237","L9","100","0","1325","825"
"238","L10","0","0","150","1425"
"239","L11","500","725","25","775"
"240","L12","0","0","1325","0"
"241","M1","1100","0","0","1250"
"242","M2","300","625","500","50"
"243","M3","975","0","800","0"
"244","M4","0","325","0","0"
"245","M5","100","1200","0","0"
"246","M6","0","0","675","625"
"247","M7","300","475","0","0"
"248","M8","0","0","1325","625"
"249","M9","975","0","675","875"
"250","M10","0","0","25","425"
"251","M11","0","625","0","0"
"252","M12","900","0","0","775"
"253","N1","600","1050","500","0"
"254","N2","0","725","150","1425"
"255","N3","200","0","800","0"
"256","N4","0","0","1325","825"
"257","N5","0","0","0","825"
"258","N6","500","1200","800","0"
"259","N7","0","0","0","1050"
"260","N8","200","625","0","0"
"261","N9","400","0","850","1425"
"262","N10","0","325","0","0"
"263","N11","900","725","0","0"
"264","N12","975","0","500","0"
"265","O1",NA,NA,NA,NA
"266","O2",NA,NA,NA,NA
"267","O3",NA,NA,NA,NA
"268","O4",NA,NA,NA,NA
"269","O5",NA,NA,NA,NA
"270","O6",NA,NA,NA,NA
"271","O7",NA,NA,NA,NA
"272","O8",NA,NA,NA,NA
"273","O9",NA,NA,NA,NA
"274","O10",NA,NA,NA,NA
"275","O11",NA,NA,NA,NA
"276","O12",NA,NA,NA,NA
"277","P1",NA,NA,NA,NA
"278","P2",NA,NA,NA,NA
"279","P3",NA,NA,NA,NA
"280","P4",NA,NA,NA,NA
"281","P5",NA,NA,NA,NA
"282","P6",NA,NA,NA,NA
"283","P7",NA,NA,NA,NA
"284","P8",NA,NA,NA,NA
"285","P9",NA,NA,NA,NA
"286","P10",NA,NA,NA,NA
"287","P11",NA,NA,NA,NA
"288","P12",NA,NA,NA,NA
"289","I13","0","1675","0","425"
"290","I14","0","0","0","0"
"291","I15","900","475","525","625"
"292","I16","0","0","1475","0"
"293","I17","0","0","0","775"
"294","I18","1000","725","0","0"
"295","I19","975","0","0","0"
"296","I20","0","0","150","1475"
"297","I21","100","0","1325","825"
"298","I22","0","0","150","1425"
"299","I23","500","725","25","775"
"300","I24","0","0","1325","0"
"301","J13","1100","0","0","1250"
"302","J14","300","625","500","50"
"303","J15","975","0","800","0"
"304","J16","0","325","0","0"
"305","J17","100","1200","0","0"
"306","J18","0","0","675","625"
"307","J19","300","475","0","0"
"308","J20","0","0","1325","625"
"309","J21","975","0","675","875"
"310","J22","0","0","25","425"
"311","J23","0","625","0","0"
"312","J24","900","0","0","775"
"313","K13","600","1050","500","0"
"314","K14","0","725","150","1425"
"315","K15","200","0","800","0"
"316","K16","0","0","1325","825"
"317","K17","0","0","0","825"
"318","K18","500","1200","800","0"
"319","K19","0","0","0","1050"
"320","K20","200","625","0","0"
"321","K21","400","0","850","1425"
"322","K22","0","325","0","0"
