"","well","amount_covid","amount_flu_a","amount_flu_b","amount_rsv"
"1","A1","0","0","0","0"
"2","A2","0","525","0","600"
"3","A3","0","550","600","0"
"4","A4","625","475","0","650"
"5","A5","0","0","0","850"
"6","A6","0","0","0","0"
"7","A7","0","0","0","0"
"8","A8","0","0","725","0"
"9","A9","800","0","1425","0"
"10","A10","0","0","0","0"
"11","A11","800","550","0","600"
"12","A12","0","0","600","0"
"13","B1","0","525","0","650"
"14","B2","0","0","725","0"
"15","B3","0","475","0","0"
"16","B4","0","0","0","0"
"17","B5","0","0","1425","0"
"18","B6","625","0","0","850"
"19","B7","800","0","0","0"
"20","B8","0","0","0","0"
"21","B9","625","0","725","600"
"22","B10","0","550","0","850"
"23","B11","0","525","600","0"
"24","B12","0","0","0","0"
"25","C1","0","0","1425","650"
"26","C2","0","0","0","0"
"27","C3","0","475","0","0"
"28","C4","0","0","725","650"
"29","C5","0","0","0","0"
"30","C6","0","475","0","0"
"31","C7","0","0","0","600"
"32","C8","0","0","0","0"
"33","C9","625","1075","1425","0"
"34","C10","0","0","600","0"
"35","C11","0","0","0","850"
"36","C12","800","0","0","0"
"37","D1","0","0","0","0"
"38","D2","0","525","0","600"
"39","D3","0","550","600","0"
"40","D4","625","475","0","650"
"41","D5","0","0","0","850"
"42","D6","0","0","0","0"
"43","D7","0","0","0","0"
"44","D8","0","0","725","0"
"45","D9","800","0","1425","0"
"46","D10","0","0","0","0"
"47","D11","800","550","0","600"
"48","D12","0","0","600","0"
"49","E1","0","525","0","650"
"50","E2","0","0","725","0"
"51","E3","0","475","0","0"
"52","E4","0","0","0","0"
"53","E5","0","0","1425","0"
"54","E6","625","0","0","850"
"55","E7","800","0","0","0"
"56","E8","0","0","0","0"
"57","E9","625","0","725","600"
"58","E10","0","550","0","850"
"59","E11","0","525","600","0"
"60","E12","0","0","0","0"
"61","F1","0","0","1425","650"
"62","F2","0","0","0","0"
"63","F3","0","475","0","0"
"64","F4","0","0","725","650"
"65","F5","0","0","0","0"
"66","F6","0","475","0","0"
"67","F7","0","0","0","600"
"68","F8","0","0","0","0"
"69","F9","625","1075","1425","0"
"70","F10","0","0","600","0"
"71","F11","0","0","0","850"
"72","F12","800","0","0","0"
"73","G1",NA,NA,NA,NA
"74","G2",NA,NA,NA,NA
"75","G3",NA,NA,NA,NA
"76","G4",NA,NA,NA,NA
"77","G5",NA,NA,NA,NA
"78","G6",NA,NA,NA,NA
"79","G7",NA,NA,NA,NA
"80","G8",NA,NA,NA,NA
"81","G9",NA,NA,NA,NA
"82","G10",NA,NA,NA,NA
"83","G11",NA,NA,NA,NA
"84","G12",NA,NA,NA,NA
"85","H1",NA,NA,NA,NA
"86","H2",NA,NA,NA,NA
"87","H3",NA,NA,NA,NA
"88","H4",NA,NA,NA,NA
"89","H5",NA,NA,NA,NA
"90","H6",NA,NA,NA,NA
"91","H7",NA,NA,NA,NA
"92","H8",NA,NA,NA,NA
"93","H9",NA,NA,NA,NA
"94","H10",NA,NA,NA,NA
"95","H11",NA,NA,NA,NA
"96","H12",NA,NA,NA,NA
"97","A13","0","0","0","0"
"98","A14","0","525","0","600"
"99","A15","0","550","600","0"
"100","A16","625","475","0","650"
"101","A17","0","0","0","850"
"102","A18","0","0","0","0"
"103","A19","0","0","0","0"
"104","A20","0","0","725","0"
"105","A21","800","0","1425","0"
"106","A22","0","0","0","0"
"107","A23","800","550","0","600"
"108","A24","0","0","600","0"
"109","B13","0","525","0","650"
"110","B14","0","0","725","0"
"111","B15","0","475","0","0"
"112","B16","0","0","0","0"
"113","B17","0","0","1425","0"
"114","B18","625","0","0","850"
"115","B19","800","0","0","0"
"116","B20","0","0","0","0"
"117","B21","625","0","725","600"
"118","B22","0","550","0","850"
"119","B23","0","525","600","0"
"120","B24","0","0","0","0"
"121","C13","0","0","1425","650"
"122","C14","0","0","0","0"
"123","C15","0","475","0","0"
"124","C16","0","0","725","650"
"125","C17","0","0","0","0"
"126","C18","0","475","0","0"
"127","C19","0","0","0","600"
"128","C20","0","0","0","0"
"129","C21","625","1075","1425","0"
"130","C22","0","0","600","0"
"131","C23","0","0","0","850"
"132","C24","800","0","0","0"
"133","D13","0","0","0","0"
"134","D14","0","525","0","600"
"135","D15","0","550","600","0"
"136","D16","625","475","0","650"
"137","D17","0","0","0","850"
"138","D18","0","0","0","0"
"139","D19","0","0","0","0"
"140","D20","0","0","725","0"
"141","D21","800","0","1425","0"
"142","D22","0","0","0","0"
"143","D23","800","550","0","600"
"144","D24","0","0","600","0"
"145","E13","0","525","0","650"
"146","E14","0","0","725","0"
"147","E15","0","475","0","0"
"148","E16","0","0","0","0"
"149","E17","0","0","1425","0"
"150","E18","625","0","0","850"
"151","E19","800","0","0","0"
"152","E20","0","0","0","0"
"153","E21","625","0","725","600"
"154","E22","0","550","0","850"
"155","E23","0","525","600","0"
"156","E24","0","0","0","0"
"157","F13","0","0","1425","650"
"158","F14","0","0","0","0"
"159","F15","0","475","0","0"
"160","F16","0","0","725","650"
"161","F17","0","0","0","0"
"162","F18","0","475","0","0"
"163","F19","0","0","0","600"
"164","F20","0","0","0","0"
"165","F21","625","1075","1425","0"
"166","F22","0","0","600","0"
"167","F23","0","0","0","850"
"168","F24","800","0","0","0"
"169","G13",NA,NA,NA,NA
"170","G14",NA,NA,NA,NA
"171","G15",NA,NA,NA,NA
"172","G16",NA,NA,NA,NA
"173","G17",NA,NA,NA,NA
"174","G18",NA,NA,NA,NA
"175","G19",NA,NA,NA,NA
"176","G20",NA,NA,NA,NA
"177","G21",NA,NA,NA,NA
"178","G22",NA,NA,NA,NA
"179","G23",NA,NA,NA,NA
"180","G24",NA,NA,NA,NA
"181","H13",NA,NA,NA,NA
"182","H14",NA,NA,NA,NA
"183","H15",NA,NA,NA,NA
"184","H16",NA,NA,NA,NA
"185","H17",NA,NA,NA,NA
"186","H18",NA,NA,NA,NA
"187","H19",NA,NA,NA,NA
"188","H20",NA,NA,NA,NA
"189","H21",NA,NA,NA,NA
"190","H22",NA,NA,NA,NA
"191","H23",NA,NA,NA,NA
"192","H24",NA,NA,NA,NA
"193","I1","1425","0","225","0"
"194","I2","200","175","0","850"
"195","I3","0","0","1000","0"
"196","I4","0","0","0","0"
"197","I5","0","0","0","0"
"198","I6","50","0","525","50"
"199","I7","1025","1250","700","0"
"200","I8","0","1050","0","225"
"201","I9","0","500","0","0"
"202","I10","0","0","1000","75"
"203","I11","0","0","0","0"
"204","I12","1025","1250","525","1000"
"205","J1","0","0","700","50"
"206","J2","0","0","0","0"
"207","J3","200","500","0","0"
"208","J4","1425","0","0","0"
"209","J5","0","1050","0","0"
"210","J6","50","175","225","0"
"211","J7","0","175","700","150"
"212","J8","0","0","0","0"
"213","J9","0","0","1000","0"
"214","J10","0","0","0","850"
"215","J11","50","500","0","0"
"216","J12","0","1050","0","0"
"217","K1","1625","0","0","0"
"218","K2","0","0","525","75"
"219","K3","1025","1250","225","50"
"220","K4","50","0","0","0"
"221","K5","0","175","0","0"
"222","K6","0","0","0","0"
"223","K7","0","1550","525","0"
"224","K8","0","0","1000","900"
"225","K9","1025","1250","0","75"
"226","K10","1425","0","700","0"
"227","K11","200","0","0","150"
"228","K12","0","0","225","0"
"229","L1","1425","0","225","0"
"230","L2","200","175","0","850"
"231","L3","0","0","1000","0"
"232","L4","0","0","0","0"
"233","L5","0","0","0","0"
"234","L6","50","0","525","50"
"235","L7","1025","1250","700","0"
"236","L8","0","1050","0","225"
"237","L9","0","500","0","0"
"238","L10","0","0","1000","75"
"239","L11","0","0","0","0"
"240","L12","1025","1250","525","1000"
"241","M1","0","0","700","50"
"242","M2","0","0","0","0"
"243","M3","200","500","0","0"
"244","M4","1425","0","0","0"
"245","M5","0","1050","0","0"
"246","M6","50","175","225","0"
"247","M7","0","175","700","150"
"248","M8","0","0","0","0"
"249","M9","0","0","1000","0"
"250","M10","0","0","0","850"
"251","M11","50","500","0","0"
"252","M12","0","1050","0","0"
"253","N1","1625","0","0","0"
"254","N2","0","0","525","75"
"255","N3","1025","1250","225","50"
"256","N4","50","0","0","0"
"257","N5","0","175","0","0"
"258","N6","0","0","0","0"
"259","N7","0","1550","525","0"
"260","N8","0","0","1000","900"
"261","N9","1025","1250","0","75"
"262","N10","1425","0","700","0"
"263","N11","200","0","0","150"
"264","N12","0","0","225","0"
"265","O1",NA,NA,NA,NA
"266","O2",NA,NA,NA,NA
"267","O3",NA,NA,NA,NA
"268","O4",NA,NA,NA,NA
"269","O5",NA,NA,NA,NA
"270","O6",NA,NA,NA,NA
"271","O7",NA,NA,NA,NA
"272","O8",NA,NA,NA,NA
"273","O9",NA,NA,NA,NA
"274","O10",NA,NA,NA,NA
"275","O11",NA,NA,NA,NA
"276","O12",NA,NA,NA,NA
"277","P1",NA,NA,NA,NA
"278","P2",NA,NA,NA,NA
"279","P3",NA,NA,NA,NA
"280","P4",NA,NA,NA,NA
"281","P5",NA,NA,NA,NA
"282","P6",NA,NA,NA,NA
"283","P7",NA,NA,NA,NA
"284","P8",NA,NA,NA,NA
"285","P9",NA,NA,NA,NA
"286","P10",NA,NA,NA,NA
"287","P11",NA,NA,NA,NA
"288","P12",NA,NA,NA,NA
"289","I13","1425","0","225","0"
"290","I14","200","175","0","850"
"291","I15","0","0","1000","0"
"292","I16","0","0","0","0"
"293","I17","0","0","0","0"
"294","I18","50","0","525","50"
"295","I19","1025","1250","700","0"
"296","I20","0","1050","0","225"
"297","I21","0","500","0","0"
"298","I22","0","0","1000","75"
"299","I23","0","0","0","0"
"300","I24","1025","1250","525","1000"
"301","J13","0","0","700","50"
"302","J14","0","0","0","0"
"303","J15","200","500","0","0"
"304","J16","1425","0","0","0"
"305","J17","0","1050","0","0"
"306","J18","50","175","225","0"
"307","J19","0","175","700","150"
"308","J20","0","0","0","0"
"309","J21","0","0","1000","0"
"310","J22","0","0","0","850"
"311","J23","50","500","0","0"
"312","J24","0","1050","0","0"
"313","K13","1625","0","0","0"
"314","K14","0","0","525","75"
"315","K15","1025","1250","225","50"
"316","K16","50","0","0","0"
"317","K17","0","175","0","0"
"318","K18","0","0","0","0"
"319","K19","0","1550","525","0"
"320","K20","0","0","1000","900"
"321","K21","1025","1250","0","75"
"322","K22","1425","0","700","0"
"323","K23","200","0","0","150"
"324","K24","0","0","225","0"
"325","L13","1425","0","225","0"
"326","L14","200","175","0","850"
"327","L15","0","0","1000","0"
"328","L16","0","0","0","0"
"329","L17","0","0","0","0"
"330","L18","50","0","525","50"
"331","L19","1025","1250","700","0"
"332","L20","0","1050","0","225"
"333","L21","0","500","0","0"
"334","L22","0","0","1000","75"
"335","L23","0","0","0","0"
"336","L24","1025","1250","525","1000"
"337","M13","0","0","700","50"
"338","M14","0","0","0","0"
"339","M15","200","500","0","0"
"340","M16","1425","0","0","0"
"341","M17","0","1050","0","0"
"342","M18","50","175","225","0"
"343","M19","0","175","700","150"
"344","M20","0","0","0","0"
"345","M21","0","0","1000","0"
"346","M22","0","0","0","850"
"347","M23","50","500","0","0"
"348","M24","0","1050","0","0"
"349","N13","1625","0","0","0"
"350","N14","0","0","525","75"
"351","N15","1025","1250","225","50"
"352","N16","50","0","0","0"
"353","N17","0","175","0","0"
"354","N18","0","0","0","0"
"355","N19","0","1550","525","0"
"356","N20","0","0","1000","900"
"357","N21","1025","1250","0","75"
"358","N22","1425","0","700","0"
"359","N23","200","0","0","150"
"360","N24","0","0","225","0"
"361","O13",NA,NA,NA,NA
"362","O14",NA,NA,NA,NA
"363","O15",NA,NA,NA,NA
"364","O16",NA,NA,NA,NA
"365","O17",NA,NA,NA,NA
"366","O18",NA,NA,NA,NA
"367","O19",NA,NA,NA,NA
"368","O20",NA,NA,NA,NA
"369","O21",NA,NA,NA,NA
"370","O22",NA,NA,NA,NA
"371","O23",NA,NA,NA,NA
"372","O24",NA,NA,NA,NA
"373","P13",NA,NA,NA,NA
"374","P14",NA,NA,NA,NA
"375","P15",NA,NA,NA,NA
"376","P16",NA,NA,NA,NA
"377","P17",NA,NA,NA,NA
"378","P18",NA,NA,NA,NA
"379","P19",NA,NA,NA,NA
"380","P20",NA,NA,NA,NA
"381","P21",NA,NA,NA,NA
"382","P22",NA,NA,NA,NA
"383","P23",NA,NA,NA,NA
"384","P24",NA,NA,NA,NA
