Well,ct_sc2,ct_flua,ct_flub,ct_rsv
D14,No Ct,30.39,No Ct,No Ct
D15,27.2,No Ct,No Ct,25.5
D16,No Ct,No Ct,31.53,No Ct
D17,No Ct,29.38,No Ct,30.07
D18,No Ct,No Ct,No Ct,25.12
D19,29.16,30.43,No Ct,No Ct
D2,No Ct,30.97,No Ct,No Ct
D20,29.2,29.17,31.11,No Ct
D21,29.15,No Ct,27.12,No Ct
D22,27.09,No Ct,No Ct,25.53
D23,No Ct,31.65,No Ct,25.15
D24,28.98,No Ct,30.76,30.15
D3,27.16,No Ct,No Ct,24.72
D4,No Ct,No Ct,31.37,No Ct
D5,No Ct,29.55,No Ct,29.92
D6,No Ct,No Ct,No Ct,25.57
D7,29.19,29.85,No Ct,No Ct
D8,29.21,29.03,31.31,No Ct
D9,29.35,No Ct,26.63,No Ct
E1,No Ct,32.48,27.2,No Ct
E10,No Ct,No Ct,No Ct,No Ct
E11,No Ct,30.32,No Ct,No Ct
E12,No Ct,No Ct,29.89,29.4
E13,No Ct,33.21,27.04,No Ct
E14,No Ct,28.28,No Ct,No Ct
E15,No Ct,No Ct,30.37,29.13
E16,No Ct,No Ct,No Ct,No Ct
E17,28.68,No Ct,No Ct,No Ct
E18,26.28,36.98,27.32,No Ct
E19,27.12,No Ct,30.59,No Ct
E2,No Ct,28.5,No Ct,No Ct
E20,26.79,No Ct,No Ct,No Ct
E21,No Ct,31.14,27.33,26.13
E22,No Ct,No Ct,No Ct,No Ct
E23,No Ct,30.63,No Ct,No Ct
E24,No Ct,No Ct,30.15,29.12
E3,No Ct,No Ct,30.3,29.04
E4,No Ct,No Ct,No Ct,No Ct
E5,29.29,No Ct,No Ct,No Ct
E6,26.87,37.11,27.54,No Ct
E7,27.16,No Ct,30.68,No Ct
E8,27.1,No Ct,No Ct,No Ct
E9,No Ct,33.69,25.88,25.48
F1,29.08,No Ct,33.89,25.36
F10,No Ct,No Ct,No Ct,No Ct
F11,No Ct,No Ct,30.52,No Ct
F12,No Ct,33.27,27.35,No Ct
F13,27.81,No Ct,33.64,25.48
F14,27.79,30.54,No Ct,No Ct
F15,27.4,30.47,27.42,No Ct
F16,26.42,30.18,33.68,No Ct
F17,No Ct,No Ct,27.06,31.07
F18,No Ct,No Ct,No Ct,25.44
F19,27.08,29.58,No Ct,No Ct
F2,29.03,30.67,No Ct,No Ct
F20,No Ct,30.55,No Ct,25.62
F21,27.62,32.23,31.03,30.98
F22,No Ct,No Ct,No Ct,No Ct
F23,No Ct,No Ct,30.9,No Ct
F24,No Ct,32.92,27.42,No Ct
F3,29.34,30.53,27.83,No Ct
F4,27.3,30.34,33.33,No Ct
F5,No Ct,No Ct,27.21,30.28
F6,No Ct,No Ct,No Ct,25.33
F7,27.09,29.33,No Ct,No Ct
F8,No Ct,31.62,No Ct,25.69
F9,27.64,33.51,29.21,32.37
G1,No Ct,No Ct,No Ct,No Ct
G10,No Ct,No Ct,No Ct,No Ct
G11,No Ct,No Ct,No Ct,No Ct
G12,No Ct,No Ct,No Ct,No Ct
G13,No Ct,No Ct,No Ct,No Ct
G14,No Ct,No Ct,No Ct,No Ct
G15,No Ct,No Ct,No Ct,No Ct
G16,No Ct,No Ct,No Ct,No Ct
G17,No Ct,No Ct,No Ct,No Ct
G18,No Ct,No Ct,No Ct,No Ct
G19,No Ct,No Ct,No Ct,No Ct
G2,No Ct,No Ct,No Ct,No Ct
G20,No Ct,No Ct,No Ct,No Ct
G21,No Ct,No Ct,No Ct,No Ct
G22,No Ct,No Ct,No Ct,No Ct
G23,No Ct,No Ct,No Ct,No Ct
G24,No Ct,No Ct,No Ct,No Ct
G3,No Ct,No Ct,No Ct,No Ct
G4,No Ct,No Ct,No Ct,No Ct
G5,No Ct,No Ct,No Ct,No Ct
G6,No Ct,No Ct,No Ct,No Ct
G7,No Ct,No Ct,No Ct,No Ct
G8,No Ct,No Ct,No Ct,No Ct
G9,No Ct,No Ct,No Ct,No Ct
H1,No Ct,No Ct,No Ct,No Ct
H10,No Ct,No Ct,No Ct,No Ct
H11,No Ct,No Ct,No Ct,No Ct
H12,No Ct,No Ct,No Ct,No Ct
H13,No Ct,No Ct,No Ct,No Ct
H14,No Ct,No Ct,No Ct,No Ct
H15,No Ct,No Ct,No Ct,No Ct
H16,No Ct,No Ct,No Ct,No Ct
H17,No Ct,No Ct,No Ct,No Ct
H18,No Ct,No Ct,No Ct,No Ct
H19,No Ct,No Ct,No Ct,No Ct
H2,No Ct,No Ct,No Ct,No Ct
H20,No Ct,No Ct,No Ct,No Ct
H21,No Ct,No Ct,No Ct,No Ct
H22,No Ct,No Ct,No Ct,No Ct
H23,No Ct,No Ct,No Ct,No Ct
H24,No Ct,No Ct,No Ct,No Ct
H3,No Ct,No Ct,No Ct,No Ct
H4,No Ct,No Ct,No Ct,No Ct
H5,No Ct,No Ct,No Ct,No Ct
H6,No Ct,No Ct,No Ct,No Ct
H7,No Ct,No Ct,No Ct,No Ct
H8,No Ct,No Ct,No Ct,No Ct
H9,No Ct,No Ct,No Ct,No Ct
I1,27.49,No Ct,No Ct,No Ct
I10,28.13,30.76,28.12,28.54
I11,26.93,32.12,No Ct,31.74
I12,No Ct,30.31,30.14,No Ct
I13,28.84,No Ct,No Ct,No Ct
I14,30.49,No Ct,27.46,No Ct
I15,27.94,29.4,No Ct,25.29
I16,26.98,31.65,30.51,30.98
I17,No Ct,No Ct,No Ct,No Ct
I18,No Ct,No Ct,31.2,25.71
I19,No Ct,29.47,27.76,No Ct
I2,29.15,No Ct,27.87,No Ct
I20,26.98,30.47,31.76,27.54
I21,No Ct,No Ct,No Ct,29.7
I22,27.65,30.48,28.55,29.5
I23,26.55,31.62,No Ct,31.75
I24,No Ct,30.46,30.23,No Ct
I3,28.22,29.82,No Ct,25.63
I4,27.42,32.14,30.44,31
I5,No Ct,No Ct,No Ct,No Ct
I6,No Ct,No Ct,31.39,25.62
I7,No Ct,29.86,27.62,No Ct
I8,26.54,30.24,31.06,27.13
I9,No Ct,No Ct,No Ct,29.99
J1,26.36,No Ct,No Ct,27.27
J10,28.91,31.96,30.93,No Ct
J11,27.04,No Ct,29.38,No Ct
J12,30.06,30.18,30.04,No Ct
J13,26.97,No Ct,No Ct,26.53
J14,31.13,29.19,30.02,30.76
J15,No Ct,No Ct,No Ct,25.54
J16,No Ct,30.17,30.8,25.18
J17,No Ct,31.21,30.1,No Ct
J18,No Ct,No Ct,27.93,No Ct
J19,No Ct,32.35,28.17,32.17
J2,29.62,29.16,30.73,31.24
J20,27.23,No Ct,30.95,26.51
J21,27.58,30.01,No Ct,25.33
J22,29.13,31.11,31.46,No Ct
J23,27.2,No Ct,29.7,No Ct
J24,30.41,30.64,30.41,No Ct
J3,No Ct,No Ct,No Ct,26.07
J4,No Ct,31.09,30.54,26.02
J5,No Ct,31.28,31.11,No Ct
J6,No Ct,No Ct,27.79,No Ct
J7,No Ct,32.42,27.78,32.32
J8,26.82,No Ct,30.54,26.72
J9,28.1,30.13,No Ct,25.32
K1,No Ct,29.97,28.15,No Ct
K10,28.09,No Ct,No Ct,No Ct
K11,26.95,No Ct,31.01,25.43
K12,27.08,35.22,27.85,26.39
K13,No Ct,30.31,27.76,No Ct
K14,No Ct,No Ct,No Ct,25.18
K15,28.2,29.34,No Ct,No Ct
K16,No Ct,29.77,No Ct,24.85
K17,No Ct,29.62,27.34,29.07
K18,No Ct,31.25,29.29,No Ct
K19,29.15,29.91,28.25,No Ct
K2,No Ct,No Ct,No Ct,25.15
K20,27.07,No Ct,No Ct,27.25
K21,No Ct,30.64,No Ct,No Ct
K22,27.98,No Ct,No Ct,No Ct
K23,26.93,No Ct,30.74,25.45
K24,27.03,34.29,29.97,26.39
K3,28.5,29.45,No Ct,No Ct
K4,No Ct,29.71,No Ct,25.26
K5,No Ct,29.58,28.01,30.83
K6,No Ct,31.58,29.72,No Ct
K7,29.06,30.25,28.04,No Ct
K8,27.89,No Ct,No Ct,27.25
K9,No Ct,30.27,No Ct,No Ct
L1,28.78,No Ct,No Ct,No Ct
L10,28.33,31.82,27.83,27.76
L11,26.48,32.35,No Ct,31.02
L12,No Ct,30.44,29.02,No Ct
L13,28.95,No Ct,No Ct,No Ct
L14,30.55,No Ct,27.65,No Ct
L15,28.12,29.3,No Ct,25.2
L16,27.21,31.66,30.26,30.47
L17,No Ct,No Ct,No Ct,No Ct
L18,No Ct,No Ct,31.22,25.44
L19,No Ct,29.68,28.2,No Ct
L2,30.53,No Ct,28.14,No Ct
L20,26.56,30.79,31.23,26.23
L21,No Ct,No Ct,No Ct,29.51
L22,28.01,30.53,28.4,28.06
L23,26.71,32.2,No Ct,30.9
L24,No Ct,30.7,30.06,No Ct
L3,28.14,29.78,No Ct,25.38
L4,27.6,32.58,30.6,30.46
L5,No Ct,No Ct,No Ct,No Ct
L6,No Ct,No Ct,31.85,25.6
L7,No Ct,30.06,27.89,No Ct
L8,25.32,31.6,31.17,26.54
L9,No Ct,No Ct,No Ct,29.35
M1,26.94,No Ct,No Ct,26.84
M10,29.22,32.04,30.62,No Ct
M11,27.36,No Ct,29.05,No Ct
M12,30.09,31.05,28.79,No Ct
M13,26.86,No Ct,No Ct,26.97
M14,31,29.3,30.92,29.6
M15,No Ct,No Ct,No Ct,25.74
M16,No Ct,30.44,30.68,25.74
M17,No Ct,31.21,30.3,No Ct
M18,No Ct,No Ct,28.02,No Ct
M19,No Ct,31.63,28.13,33.05
M2,30.92,29.21,30.82,30.9
M20,27.3,No Ct,31.37,26.55
M21,27.96,30.38,No Ct,25.13
M22,28.69,31.33,31.15,No Ct
M23,27.3,No Ct,29.98,No Ct
M24,30.83,31.04,30.15,No Ct
M3,No Ct,No Ct,No Ct,25.94
M4,No Ct,30.96,30.91,25.7
M5,No Ct,31.6,31.1,No Ct
M6,No Ct,No Ct,28.03,No Ct
M7,No Ct,33.09,27.54,31.43
M8,26.83,No Ct,30.88,26.28
M9,28.42,30.43,No Ct,25.89
N1,No Ct,30.04,28.53,No Ct
N10,28.38,No Ct,No Ct,No Ct
N11,26.9,No Ct,29.2,25.51
N12,27.51,36.96,28.81,27.16
N13,No Ct,29.9,28.1,No Ct
N14,No Ct,No Ct,No Ct,25.24
N15,28.49,29.35,No Ct,No Ct
N16,No Ct,29.81,No Ct,25.99
N17,No Ct,30.36,28.24,31.31
N18,No Ct,31.39,29.42,No Ct
N19,28.98,29.71,28.3,No Ct
N2,No Ct,No Ct,No Ct,25.41
N20,28.26,No Ct,No Ct,27.49
N21,No Ct,30.8,No Ct,No Ct
N22,28.26,No Ct,No Ct,No Ct
N23,27.14,No Ct,31.29,25.81
N24,27.23,35.49,29.14,27.18
N3,28.57,29.95,No Ct,No Ct
N4,No Ct,29.95,No Ct,25.71
N5,No Ct,30.32,28.28,32.07
N6,No Ct,31.45,30.14,No Ct
N7,28.65,30.37,28.38,No Ct
N8,27.78,No Ct,No Ct,27.49
N9,No Ct,30.75,No Ct,No Ct
O1,No Ct,No Ct,No Ct,No Ct
O10,No Ct,No Ct,No Ct,No Ct
O11,No Ct,No Ct,No Ct,No Ct
O12,No Ct,No Ct,No Ct,No Ct
O13,No Ct,No Ct,No Ct,No Ct
O14,No Ct,No Ct,No Ct,No Ct
O15,No Ct,No Ct,No Ct,No Ct
O16,No Ct,No Ct,No Ct,No Ct
O17,No Ct,No Ct,No Ct,No Ct
O18,No Ct,No Ct,No Ct,No Ct
O19,No Ct,No Ct,No Ct,No Ct
O2,No Ct,No Ct,No Ct,No Ct
O20,No Ct,No Ct,No Ct,No Ct
O21,No Ct,No Ct,No Ct,No Ct
O22,No Ct,No Ct,No Ct,No Ct
O23,No Ct,No Ct,No Ct,No Ct
O24,No Ct,No Ct,No Ct,No Ct
O3,No Ct,No Ct,No Ct,No Ct
O4,No Ct,No Ct,No Ct,No Ct
O5,No Ct,No Ct,No Ct,No Ct
O6,No Ct,No Ct,No Ct,No Ct
O7,No Ct,No Ct,No Ct,No Ct
O8,No Ct,No Ct,No Ct,No Ct
O9,No Ct,No Ct,No Ct,No Ct
P1,No Ct,No Ct,No Ct,No Ct
P10,No Ct,No Ct,No Ct,No Ct
P11,No Ct,No Ct,No Ct,No Ct
P12,No Ct,No Ct,No Ct,No Ct
P13,No Ct,No Ct,No Ct,No Ct
P14,No Ct,No Ct,No Ct,No Ct
P15,No Ct,No Ct,No Ct,No Ct
P16,No Ct,No Ct,No Ct,No Ct
P17,No Ct,No Ct,No Ct,No Ct
P18,No Ct,No Ct,No Ct,No Ct
P19,No Ct,No Ct,No Ct,No Ct
P2,No Ct,No Ct,No Ct,No Ct
P20,No Ct,No Ct,No Ct,No Ct
P21,No Ct,No Ct,No Ct,No Ct
P22,No Ct,No Ct,No Ct,No Ct
P23,No Ct,No Ct,No Ct,No Ct
P24,No Ct,No Ct,No Ct,No Ct
P3,No Ct,No Ct,No Ct,No Ct
P4,No Ct,No Ct,No Ct,No Ct
P5,No Ct,No Ct,No Ct,No Ct
P6,No Ct,No Ct,No Ct,No Ct
P7,No Ct,No Ct,No Ct,No Ct
P8,No Ct,No Ct,No Ct,No Ct
P9,No Ct,No Ct,No Ct,No Ct
