Well,ct_sc2,ct_flua,ct_flub,ct_rsv
A1,27.46,No Ct,27.59,30.54
A10,26.9,No Ct,No Ct,26.07
A11,No Ct,31.63,No Ct,25.36
A12,29.07,No Ct,30.89,30.07
A13,27.24,40.03,27.2,33.07
A14,No Ct,31.02,No Ct,No Ct
A15,26.84,No Ct,No Ct,25.72
A16,No Ct,No Ct,31.21,No Ct
A17,No Ct,28.26,No Ct,30.94
A18,No Ct,No Ct,No Ct,25.42
A19,28.71,29.12,No Ct,No Ct
A2,No Ct,30.77,No Ct,No Ct
A20,29.16,28.58,31.49,No Ct
A21,29.49,No Ct,27.26,No Ct
A22,26.89,No Ct,No Ct,25.39
A23,No Ct,31.91,No Ct,25.49
A24,29.18,No Ct,30.82,30.35
A3,27.34,No Ct,No Ct,25.37
A4,No Ct,No Ct,31.56,No Ct
A5,No Ct,29.45,No Ct,30.16
A6,No Ct,No Ct,No Ct,25.34
A7,29.19,30.44,No Ct,No Ct
A8,29.36,28.53,31.86,No Ct
A9,29.23,No Ct,27.03,No Ct
B1,No Ct,32.95,27.36,No Ct
B10,No Ct,No Ct,No Ct,No Ct
B11,No Ct,30.18,No Ct,No Ct
B12,No Ct,No Ct,30.16,29.37
B13,No Ct,33.25,26.15,No Ct
B14,No Ct,28.64,No Ct,No Ct
B15,No Ct,No Ct,27.67,29.43
B16,No Ct,No Ct,No Ct,No Ct
B17,29.4,No Ct,No Ct,No Ct
B18,27.2,32.67,27.59,No Ct
B19,27.12,No Ct,30.72,No Ct
B2,No Ct,28.81,No Ct,No Ct
B20,27.14,No Ct,No Ct,No Ct
B21,No Ct,30.18,27.38,26.15
B22,No Ct,No Ct,No Ct,No Ct
B23,No Ct,30.77,No Ct,No Ct
B24,No Ct,No Ct,30.35,29.44
B3,No Ct,No Ct,30.41,29.13
B4,No Ct,No Ct,No Ct,No Ct
B5,29.26,No Ct,No Ct,No Ct
B6,27.16,37.61,27.6,No Ct
B7,27.17,No Ct,30.21,No Ct
B8,27.29,No Ct,No Ct,No Ct
B9,No Ct,32.53,27.15,25.65
C1,29.06,No Ct,33.73,24.91
C10,No Ct,No Ct,No Ct,No Ct
C11,No Ct,No Ct,30.55,No Ct
C12,No Ct,34.1,27.44,No Ct
C13,29.18,No Ct,31.21,25.52
C14,29.59,30.73,No Ct,No Ct
C15,29.56,30.35,27.76,No Ct
C16,27.29,30.18,33.03,No Ct
C17,No Ct,No Ct,27.25,30.86
C18,No Ct,No Ct,No Ct,25.58
C19,26.97,29.9,No Ct,No Ct
C2,29.7,30.78,No Ct,No Ct
C20,No Ct,31.15,No Ct,25.97
C21,27.83,31.03,31.21,32.37
C22,No Ct,No Ct,No Ct,No Ct
C23,No Ct,No Ct,30.95,No Ct
C24,No Ct,34.28,27.69,No Ct
C3,29.61,30.12,28.12,No Ct
C4,27.39,30.21,32.98,No Ct
C5,No Ct,No Ct,27.47,31.04
C6,No Ct,No Ct,No Ct,25.26
C7,27.1,29.27,No Ct,No Ct
C8,No Ct,29.87,No Ct,25.6
C9,27.91,32.54,30.59,32.05
D1,27.42,No Ct,27.35,30.98
D10,26.99,No Ct,No Ct,25.14
D11,No Ct,31.93,No Ct,25.2
D12,29.36,No Ct,31,29.21
D13,27.45,No Ct,26.82,33.03
