Well,ct_sc2,ct_flua,ct_flub,ct_rsv
I18,32.21,No Ct,28.82,31.64
I19,27.96,29.55,28.64,No Ct
I2,29.83,34.93,No Ct,25.93
I20,No Ct,28.62,No Ct,27.69
I21,No Ct,29.69,No Ct,No Ct
I22,No Ct,No Ct,27.19,30.12
I23,No Ct,No Ct,No Ct,No Ct
I24,27.49,29.45,28.78,26.25
I3,No Ct,No Ct,27.72,No Ct
I4,No Ct,No Ct,No Ct,No Ct
I5,No Ct,No Ct,No Ct,No Ct
I6,31.19,No Ct,28.06,31.08
I7,27.49,28.89,27.81,No Ct
I8,No Ct,28.39,No Ct,28.09
I9,No Ct,30.08,No Ct,No Ct
J1,No Ct,No Ct,28.17,30.96
J10,No Ct,No Ct,No Ct,25.77
J11,31.24,29.63,No Ct,No Ct
J12,No Ct,28.22,No Ct,No Ct
J13,No Ct,No Ct,28.09,31.67
J14,No Ct,No Ct,No Ct,No Ct
J15,30.36,30.47,No Ct,No Ct
J16,27.61,No Ct,No Ct,No Ct
J17,No Ct,28.73,No Ct,No Ct
J18,31.21,31.93,29.38,No Ct
J19,No Ct,33.37,27.91,28.99
J2,No Ct,No Ct,No Ct,No Ct
J20,No Ct,No Ct,No Ct,No Ct
J21,No Ct,No Ct,27.37,No Ct
J22,No Ct,No Ct,No Ct,26.13
J23,31.12,29.58,No Ct,No Ct
J24,No Ct,28.81,No Ct,No Ct
J3,30.11,29.99,No Ct,No Ct
J4,27.12,No Ct,No Ct,No Ct
J5,No Ct,28.64,No Ct,No Ct
J6,31.59,32.11,29.62,No Ct
J7,No Ct,34.09,27.62,28.91
J8,No Ct,No Ct,No Ct,No Ct
J9,No Ct,No Ct,28.1,No Ct
K1,26.76,No Ct,No Ct,No Ct
K10,26.79,No Ct,27.63,No Ct
K11,29.22,No Ct,No Ct,27.51
K12,No Ct,No Ct,29.03,No Ct
K13,27.31,No Ct,No Ct,No Ct
K14,No Ct,No Ct,28.7,30.18
K15,27.49,29.11,30.43,34.47
K16,31.53,No Ct,No Ct,No Ct
K17,No Ct,32.09,No Ct,No Ct
K18,No Ct,No Ct,No Ct,No Ct
K19,No Ct,28.22,28.39,No Ct
K2,No Ct,No Ct,28.13,29.63
K20,No Ct,No Ct,27.28,25.98
K21,27.18,28.45,No Ct,31.44
K22,26.66,No Ct,27.57,No Ct
K23,29.57,No Ct,No Ct,28.3
K24,No Ct,No Ct,29.19,No Ct
K3,27.41,28.77,29.66,34.05
K4,30.21,No Ct,No Ct,No Ct
K5,No Ct,31.09,No Ct,No Ct
K6,No Ct,No Ct,No Ct,No Ct
K7,No Ct,28.07,28.14,No Ct
K8,No Ct,No Ct,27.09,25.38
K9,28.01,28.59,No Ct,31.32
L1,26.99,No Ct,29.96,No Ct
L10,No Ct,No Ct,28.02,30.95
L11,No Ct,No Ct,No Ct,No Ct
L12,27.81,30.51,29.51,26.27
L13,27.34,No Ct,30.16,No Ct
L14,28.58,36.68,No Ct,25.38
L15,No Ct,No Ct,27.16,No Ct
L16,No Ct,No Ct,No Ct,No Ct
L17,No Ct,No Ct,No Ct,No Ct
L18,31.46,No Ct,28.55,30.57
L19,27.26,29.1,28.33,No Ct
L2,29.72,35.9,No Ct,25.93
L20,No Ct,28.74,No Ct,27.53
L21,No Ct,29.7,No Ct,No Ct
L22,No Ct,No Ct,27.15,30.07
L23,No Ct,No Ct,No Ct,No Ct
L24,27.39,30.3,28.94,25.34
L3,No Ct,No Ct,27.43,No Ct
L4,No Ct,No Ct,No Ct,No Ct
L5,No Ct,No Ct,No Ct,No Ct
L6,32.51,No Ct,28.61,30.24
L7,27.82,29.45,28.53,No Ct
L8,No Ct,28.82,No Ct,28.02
L9,No Ct,29.47,No Ct,No Ct
M1,No Ct,No Ct,28.09,30.71
M10,No Ct,No Ct,No Ct,26.13
M11,30.82,29.88,No Ct,No Ct
M12,No Ct,28.64,No Ct,No Ct
M13,No Ct,No Ct,27.86,30.67
M14,No Ct,No Ct,No Ct,No Ct
M15,29.83,30.19,No Ct,No Ct
M16,27.17,No Ct,No Ct,No Ct
M17,No Ct,28.74,No Ct,No Ct
M18,31.85,32.94,29.9,No Ct
M19,No Ct,33.91,27.87,28.68
M2,No Ct,No Ct,No Ct,No Ct
M20,No Ct,No Ct,No Ct,No Ct
M21,No Ct,No Ct,27.11,No Ct
M22,No Ct,No Ct,No Ct,25.95
M23,31.15,29.55,No Ct,No Ct
M24,No Ct,28.76,No Ct,No Ct
M3,29.88,30.19,No Ct,No Ct
M4,26.9,No Ct,No Ct,No Ct
M5,No Ct,28.84,No Ct,No Ct
M6,31.97,32.41,30.07,No Ct
M7,No Ct,34.42,28.08,28.31
M8,No Ct,No Ct,No Ct,No Ct
M9,No Ct,No Ct,27.48,No Ct
N1,26.84,No Ct,No Ct,No Ct
N10,26.92,No Ct,28.15,No Ct
N11,29.44,No Ct,No Ct,28.09
N12,No Ct,No Ct,29.45,No Ct
N13,26.75,No Ct,No Ct,No Ct
N14,No Ct,No Ct,28.27,29.76
N15,27.23,28.83,30.5,36.7
N16,30.11,No Ct,No Ct,No Ct
N17,No Ct,31.11,No Ct,No Ct
N18,No Ct,No Ct,No Ct,No Ct
N19,No Ct,28.36,28.54,No Ct
N2,No Ct,No Ct,28.16,30.84
N20,No Ct,No Ct,27.27,25.84
N21,27.25,28.6,No Ct,32.28
N22,26.97,No Ct,27.85,No Ct
N23,29.28,No Ct,No Ct,28.33
N24,No Ct,No Ct,29.42,No Ct
N3,27.65,29.06,30.34,38.24
N4,30.9,No Ct,No Ct,No Ct
N5,No Ct,31.55,No Ct,No Ct
N6,No Ct,No Ct,No Ct,No Ct
N7,No Ct,28.18,28.82,No Ct
N8,No Ct,No Ct,27.51,26
N9,27.36,28.47,No Ct,31.91
O1,28.59,31.84,28.65,26.86
O10,27.84,31.85,28.42,26.56
O11,27.72,32.29,28.5,26.45
O12,27.73,32.6,28.46,27.02
O13,28.23,32.99,28.36,26.75
O14,28.19,31.52,28.6,26.41
O15,28.11,32.22,28.59,26.35
O16,27.34,32.45,28.48,26.43
O17,28.34,31.75,28.33,26.49
O18,28.08,31.97,28.75,26.42
O19,26.39,34.07,28.65,26.91
O2,28.36,32.49,28.76,26.88
O20,27.9,32.34,28.56,26.43
O21,27.99,32.18,28.58,27
O22,28.17,32.97,28.46,26.67
O23,28.21,32.83,28.34,26.34
O24,26.28,33.43,28.48,26.43
O3,28.49,32.58,28.77,27.27
O4,28.65,32.38,28.8,27.11
O5,27.94,32.61,28.53,26.91
O6,28.37,32.36,28.51,26.79
O7,28.27,32.7,28.45,26.67
O8,28.33,33.55,28.68,26.61
O9,28.1,32.87,28.18,26.44
P1,28.47,32.13,28.66,27.22
P10,28.26,31.77,28.83,26.98
P11,28.22,31.28,28.7,26.93
P12,27.55,32.39,28.68,26.5
P13,28.21,32.02,28.49,26.99
P14,28.23,30.86,28.73,26.97
P15,28.33,31.88,28.67,26.5
P16,26.63,33.6,28.82,26.61
P17,28.28,32.11,28.72,26.74
P18,28.06,31.7,28.54,26.74
P19,27.56,32.31,28.54,26.89
P2,28.49,31.65,28.56,27.19
P20,28.03,33.35,28.5,26.82
P21,28.21,31.98,28.56,26.75
P22,28.14,32.43,28.24,27.32
P23,28.05,32.08,28.35,27.07
P24,27.69,32.4,28.51,27.1
P3,28.54,31.63,28.58,27.64
P4,28.36,32.35,28.83,27.2
P5,28.16,32.93,28.55,27.7
P6,28.32,31.36,28.6,27.08
P7,28.99,31.73,28.82,26.88
P8,28.34,32.71,28.62,26.74
P9,28.25,32.74,28.22,26.83
