Well,ct_sc2,ct_flua,ct_flub,ct_rsv
A1,No Ct,No Ct,No Ct,No Ct
A10,No Ct,No Ct,No Ct,No Ct
A11,27.79,30.38,No Ct,26.51
A12,No Ct,No Ct,28.02,No Ct
A13,No Ct,No Ct,No Ct,No Ct
A14,No Ct,29.92,No Ct,26.57
A15,No Ct,29.82,28.17,No Ct
A16,28.01,30.78,No Ct,26.23
A17,No Ct,No Ct,No Ct,26.08
A18,No Ct,No Ct,No Ct,No Ct
A19,No Ct,No Ct,No Ct,No Ct
A2,No Ct,30.01,No Ct,26.44
A20,No Ct,No Ct,27.64,No Ct
A21,27.47,No Ct,26.49,No Ct
A22,No Ct,No Ct,No Ct,No Ct
A23,27.63,30.81,No Ct,26.36
A24,No Ct,No Ct,27.85,No Ct
A3,No Ct,29.71,28.12,No Ct
A4,28.17,31.28,No Ct,26.33
A5,No Ct,No Ct,No Ct,25.83
A6,No Ct,No Ct,No Ct,No Ct
A7,No Ct,No Ct,No Ct,No Ct
A8,No Ct,No Ct,27.57,No Ct
A9,27.48,No Ct,26.59,No Ct
B1,No Ct,30,No Ct,26.14
B10,No Ct,29.83,No Ct,26.16
B11,No Ct,29.72,28.17,No Ct
B12,No Ct,No Ct,No Ct,No Ct
B13,No Ct,30.35,No Ct,26.29
B14,No Ct,No Ct,27.63,No Ct
B15,No Ct,29.62,No Ct,No Ct
B16,No Ct,No Ct,No Ct,No Ct
B17,No Ct,No Ct,26.58,No Ct
B18,28.35,No Ct,No Ct,25.84
B19,28.14,No Ct,No Ct,No Ct
B2,No Ct,No Ct,27.89,No Ct
B20,No Ct,No Ct,No Ct,No Ct
B21,27.66,No Ct,27.68,26.44
B22,No Ct,29.97,No Ct,26.17
B23,No Ct,30.03,28.21,No Ct
B24,No Ct,No Ct,No Ct,No Ct
B3,No Ct,29.68,No Ct,No Ct
B4,No Ct,No Ct,No Ct,No Ct
B5,No Ct,No Ct,26.79,No Ct
B6,28.23,No Ct,No Ct,25.82
B7,27.72,No Ct,No Ct,No Ct
B8,No Ct,No Ct,No Ct,No Ct
B9,28.11,No Ct,27.87,26.33
C1,No Ct,No Ct,26.99,26.73
C10,No Ct,No Ct,28.07,No Ct
C11,No Ct,No Ct,No Ct,26.19
C12,27.91,No Ct,No Ct,No Ct
C13,No Ct,No Ct,26.78,26.41
C14,No Ct,No Ct,No Ct,No Ct
C15,No Ct,29.66,No Ct,No Ct
C16,No Ct,No Ct,28.03,26.23
C17,No Ct,No Ct,No Ct,No Ct
C18,No Ct,29.91,No Ct,No Ct
C19,No Ct,No Ct,No Ct,26.61
C2,No Ct,No Ct,No Ct,No Ct
C20,No Ct,No Ct,No Ct,No Ct
C21,28.01,30.09,26.79,No Ct
C22,No Ct,No Ct,28.12,No Ct
C23,No Ct,No Ct,No Ct,26.28
C24,28.01,No Ct,No Ct,No Ct
C3,No Ct,29.81,No Ct,No Ct
C4,No Ct,No Ct,28.03,26.31
C5,No Ct,No Ct,No Ct,No Ct
C6,No Ct,29.96,No Ct,No Ct
C7,No Ct,No Ct,No Ct,26.3
C8,No Ct,No Ct,No Ct,No Ct
C9,28.31,29.97,27.04,No Ct
D1,No Ct,No Ct,No Ct,No Ct
D10,No Ct,No Ct,No Ct,No Ct
D11,28.03,30.36,No Ct,26.52
D12,No Ct,No Ct,28,No Ct
D13,No Ct,No Ct,No Ct,No Ct
D14,No Ct,30.55,No Ct,26.43
D15,No Ct,30.05,28.27,No Ct
D16,28.58,31.22,No Ct,26.2
D17,No Ct,No Ct,No Ct,25.75
D18,No Ct,No Ct,No Ct,No Ct
D19,No Ct,No Ct,No Ct,No Ct
D2,No Ct,29.97,No Ct,26.71
D20,No Ct,No Ct,27.77,No Ct
D21,27.48,No Ct,26.58,No Ct
D22,No Ct,No Ct,No Ct,No Ct
D23,28.11,30.61,No Ct,26.41
D24,No Ct,No Ct,27.73,No Ct
D3,No Ct,30.09,28.09,No Ct
D4,28.58,31.36,No Ct,26.4
D5,No Ct,No Ct,No Ct,25.71
D6,No Ct,No Ct,No Ct,No Ct
D7,No Ct,No Ct,No Ct,No Ct
D8,No Ct,No Ct,27.68,No Ct
D9,27.51,No Ct,26.82,No Ct
E1,No Ct,29.94,No Ct,26.49
E10,No Ct,30.26,No Ct,25.77
E11,No Ct,29.77,28.23,No Ct
E12,No Ct,No Ct,No Ct,No Ct
E13,No Ct,31.16,No Ct,26.9
E14,No Ct,No Ct,27.54,No Ct
E15,No Ct,29.52,No Ct,No Ct
E16,No Ct,No Ct,No Ct,No Ct
E17,No Ct,No Ct,26.4,No Ct
E18,27.98,No Ct,No Ct,25.8
E19,27.67,No Ct,No Ct,No Ct
E2,No Ct,No Ct,27.82,No Ct
E20,No Ct,No Ct,No Ct,No Ct
E21,28.02,No Ct,27.63,26.4
E22,No Ct,30.21,No Ct,26.02
E23,No Ct,29.88,28.01,No Ct
E24,No Ct,No Ct,No Ct,No Ct
E3,No Ct,29.84,No Ct,No Ct
E4,No Ct,No Ct,No Ct,No Ct
E5,No Ct,No Ct,26.75,No Ct
E6,28.01,No Ct,No Ct,25.58
E7,27.76,No Ct,No Ct,No Ct
E8,No Ct,No Ct,No Ct,No Ct
E9,27.8,No Ct,27.76,26.09
F1,No Ct,No Ct,26.87,26.75
F10,No Ct,No Ct,28.11,No Ct
F11,No Ct,No Ct,No Ct,26.09
F12,28.03,No Ct,No Ct,No Ct
F13,No Ct,No Ct,26.76,26.39
F14,No Ct,No Ct,No Ct,No Ct
F15,No Ct,29.79,No Ct,No Ct
F16,No Ct,No Ct,27.72,26.21
F17,No Ct,No Ct,No Ct,No Ct
F18,No Ct,29.6,No Ct,No Ct
F19,No Ct,No Ct,No Ct,26.57
F2,No Ct,No Ct,No Ct,No Ct
F20,No Ct,No Ct,No Ct,No Ct
F21,27.9,29.8,26.98,No Ct
F22,No Ct,No Ct,28.02,No Ct
F23,No Ct,No Ct,No Ct,26.25
F24,27.79,No Ct,No Ct,No Ct
F3,No Ct,29.67,No Ct,No Ct
F4,No Ct,No Ct,27.74,26.35
F5,No Ct,No Ct,No Ct,No Ct
F6,No Ct,29.5,No Ct,No Ct
F7,No Ct,No Ct,No Ct,26.55
F8,No Ct,No Ct,No Ct,No Ct
F9,28.26,30.06,27.34,No Ct
G1,28.41,31.57,28.45,26.62
G10,28.39,32.07,28.91,27.68
G11,28.13,31.36,28.44,26.77
G12,28.16,31.8,28.3,26.92
G13,28.68,31.92,28.83,27.34
G14,28.42,33.19,28.96,26.84
G15,29.1,32.8,29.22,27.23
G16,29.19,32.97,29.26,27.88
G17,28.57,32.94,28.72,27.02
G18,28.28,32.07,28.15,26.48
G19,28.38,32.36,28.36,26.84
G2,28.35,32.21,28.42,26.83
G20,28.47,31.49,28.65,26.64
G21,28.15,31.71,28.09,26.81
G22,28.06,30.45,28.46,26.65
G23,28.19,32,28.14,27.03
G24,28.21,31.43,28.46,26.72
G3,28.45,32,28.56,26.88
G4,28.27,31.34,28.36,26.79
G5,28.38,32.25,28.35,26.59
G6,29.09,32.54,29,27.35
G7,28.96,32.88,28.84,27.44
G8,28.22,32.01,28.14,27.06
G9,28.16,31.56,28.51,26.57
H1,28.26,31.82,28.59,26.82
H10,28.72,32.42,29.04,28.26
H11,28.13,31.69,28.75,26.71
H12,28.18,31.88,28.3,26.69
H13,29.01,32.34,29.32,27.27
H14,29.03,33.24,29.25,27.4
H15,29.4,33.7,29.21,27.76
H16,29.22,32.39,29.64,27.61
H17,28.27,31.94,28.23,26.73
H18,28.09,31.93,28.13,26.81
H19,27.92,31.3,28.66,27.15
H2,28.33,31.22,28.74,26.98
H20,27.91,31.65,28.43,26.68
H21,28.1,31.72,28.21,26.69
H22,28.25,30.92,28.6,26.78
H23,27.92,32.13,28.24,27.23
H24,28.21,32.02,28.44,26.97
H3,28.05,32.16,28.3,26.82
H4,28.17,32.66,28.31,26.69
H5,28.06,31.84,28.26,27.16
H6,28.32,31.82,28.19,26.63
H7,28.06,31.76,28.25,26.26
H8,27.75,31.69,28.29,26.4
H9,28.19,32.05,28.79,26.79
I1,27.04,No Ct,29.74,No Ct
I10,No Ct,No Ct,27.29,30.5
I11,No Ct,No Ct,No Ct,No Ct
I12,27.37,29.06,28.59,25.81
I13,26.98,No Ct,29.99,No Ct
I14,29.7,34.75,No Ct,25.49
I15,No Ct,No Ct,27.92,No Ct
I16,No Ct,No Ct,No Ct,No Ct
I17,No Ct,No Ct,No Ct,No Ct
