Well,ct_sc2,ct_flua,ct_flub,ct_rsv
G10,28.22,32.47,28.94,26.75
G11,27.94,32.1,28.69,26.67
G12,28.19,31.34,28.68,26.38
G13,28.44,32.54,29.15,26.3
G14,28.14,32.47,29.14,27.09
G15,28.41,32.39,29.2,26.73
G16,28.29,32.04,29.02,26.3
G17,27.79,32.2,28.92,26.3
G18,28.77,32.34,28.93,26.78
G19,28.09,32.38,29.02,26.99
G2,28.34,31.67,29.32,26.77
G20,28.18,32.6,29.03,26.8
G21,28.09,32.15,28.69,26.07
G22,28.42,30.64,29.21,27.32
G23,28.3,31.87,29.09,26.7
G24,28.33,32.19,28.82,26.42
G3,28.38,32.31,28.89,26.57
G4,28.22,31.73,28.84,26.6
G5,28.18,32.01,28.68,26.7
G6,28.27,31.9,28.93,26.74
G7,28.05,32.12,28.55,26.73
G8,28.3,31.81,29.34,26.76
G9,28.3,32.24,29.5,26.65
H1,28.31,32.12,28.77,27.11
H10,27.56,33.32,28.69,25.97
H11,28.43,33.03,29.25,26.82
H12,28.08,31.51,28.67,26.39
H13,27.95,32.79,29.2,26.72
H14,28.1,32.21,28.97,26.91
H15,28.28,32.64,28.72,26.36
H16,28.16,32.47,28.89,26.53
H17,28.18,32.76,28.38,26.19
H18,28.1,31.98,28.84,26.58
H19,28.1,31.86,29.16,26.64
H2,28.71,32.51,29.38,26.86
H20,28.03,33.31,29.2,27.29
H21,28.01,32.54,28.81,26.2
H22,28.56,31.59,29.04,26.99
H23,28.87,31.93,29.34,26.75
H24,28.33,32.03,29.16,26.51
H3,28.2,32.59,29.2,26.63
H4,28.64,32.02,29.06,26.76
H5,28.17,32.3,29.2,26.69
H6,28.06,32.79,28.97,26.57
H7,28.01,32.82,28.35,26.49
H8,28.07,31.8,28.8,26.46
H9,28.04,32.71,29.12,26.8
I1,27.23,No Ct,30.21,No Ct
I10,No Ct,No Ct,27.57,29.64
I11,No Ct,No Ct,No Ct,No Ct
I12,27.79,29.77,29.97,26.08
I13,27.21,No Ct,30.32,No Ct
I14,29.56,35.64,No Ct,25.96
I15,No Ct,No Ct,27.51,No Ct
I16,No Ct,No Ct,No Ct,No Ct
I17,No Ct,No Ct,No Ct,No Ct
I18,31.04,No Ct,28.32,30.65
I19,27.04,29,28.54,No Ct
I2,29.73,35.04,No Ct,26.01
I20,No Ct,29.12,No Ct,28.09
I21,No Ct,29.63,No Ct,No Ct
I22,No Ct,No Ct,27.77,30.01
I23,No Ct,No Ct,No Ct,No Ct
I24,27.49,29.9,30.06,25.9
I3,No Ct,No Ct,28.03,No Ct
I4,No Ct,No Ct,No Ct,No Ct
I5,No Ct,No Ct,No Ct,No Ct
I6,31.86,No Ct,28.35,30.9
I7,27.7,29.12,28.57,No Ct
I8,No Ct,28.61,No Ct,27.79
I9,No Ct,29.59,No Ct,No Ct
J1,No Ct,No Ct,28.3,30.73
J10,No Ct,No Ct,No Ct,25.43
J11,31.43,29.77,No Ct,No Ct
J12,No Ct,28.46,No Ct,No Ct
J13,No Ct,No Ct,28.11,30.57
J14,No Ct,No Ct,No Ct,No Ct
J15,29.12,29.56,No Ct,No Ct
J16,26.99,No Ct,No Ct,No Ct
J17,No Ct,28.78,No Ct,No Ct
J18,31.34,31.65,29.74,No Ct
J19,No Ct,34.3,28.34,28.78
J2,No Ct,No Ct,No Ct,No Ct
J20,No Ct,No Ct,No Ct,No Ct
J21,No Ct,No Ct,27.68,No Ct
J22,No Ct,No Ct,No Ct,25.79
J23,31.73,29.69,No Ct,No Ct
J24,No Ct,28.96,No Ct,No Ct
J3,29.78,29.86,No Ct,No Ct
J4,26.95,No Ct,No Ct,No Ct
J5,No Ct,28.75,No Ct,No Ct
J6,32.1,31.76,30.11,No Ct
J7,No Ct,34.02,28.21,28.03
J8,No Ct,No Ct,No Ct,No Ct
J9,No Ct,No Ct,27.65,No Ct
K1,26.6,No Ct,No Ct,No Ct
K10,26.71,No Ct,27.91,No Ct
K11,29.29,No Ct,No Ct,27.37
K12,No Ct,No Ct,29.3,No Ct
K13,26.75,No Ct,No Ct,No Ct
K14,No Ct,No Ct,28.43,29.24
K15,27.29,28.78,30.36,32.08
K16,30.79,No Ct,No Ct,No Ct
K17,No Ct,31.04,No Ct,No Ct
K18,No Ct,No Ct,No Ct,No Ct
K19,No Ct,28.2,28.57,No Ct
K2,No Ct,No Ct,28.45,29.02
K20,No Ct,No Ct,27.85,25.59
K21,27.23,28.65,No Ct,31.25
K22,26.85,No Ct,28.02,No Ct
K23,29.48,No Ct,No Ct,28.34
K24,No Ct,No Ct,29.61,No Ct
K3,27.48,29.22,30.58,34.63
K4,30.63,No Ct,No Ct,No Ct
K5,No Ct,31.05,No Ct,No Ct
K6,No Ct,No Ct,No Ct,No Ct
K7,No Ct,28.07,28.52,No Ct
K8,No Ct,No Ct,27.45,25.42
K9,27.13,28.37,No Ct,30.29
L1,27.2,No Ct,30.54,No Ct
L10,No Ct,No Ct,27.87,29.65
L11,No Ct,No Ct,No Ct,No Ct
L12,27.44,30.04,29.93,25.75
L13,27.12,No Ct,30.32,No Ct
L14,29.08,37.15,No Ct,25.24
L15,No Ct,No Ct,27.75,No Ct
L16,No Ct,No Ct,No Ct,No Ct
L17,No Ct,No Ct,No Ct,No Ct
L18,31.15,No Ct,28.39,30.43
L19,27.28,29.08,28.86,No Ct
L2,30.03,37.75,No Ct,25.89
L20,No Ct,29.11,No Ct,28.14
L21,No Ct,30,No Ct,No Ct
L22,No Ct,No Ct,27.58,29.19
L23,No Ct,No Ct,No Ct,No Ct
L24,27.3,30.93,29.37,25.62
L3,No Ct,No Ct,27.92,No Ct
L4,No Ct,No Ct,No Ct,No Ct
L5,No Ct,No Ct,No Ct,No Ct
L6,32.75,No Ct,28.82,30.61
L7,27.22,29.3,28.5,No Ct
L8,No Ct,28.94,No Ct,27.36
L9,No Ct,29.49,No Ct,No Ct
M1,No Ct,No Ct,28.46,30.77
M10,No Ct,No Ct,No Ct,25.65
M11,31.34,29.93,No Ct,No Ct
M12,No Ct,28.51,No Ct,No Ct
M13,No Ct,No Ct,28.33,30.7
M14,No Ct,No Ct,No Ct,No Ct
