Well,ct_sc2,ct_flua,ct_flub,ct_rsv
A1,27.58,42.23,27.62,30.8
A10,27.07,No Ct,No Ct,25.42
A11,No Ct,31.58,No Ct,25.52
A12,29.04,No Ct,30.46,29.92
A13,27.19,38.57,27.1,35.06
A14,No Ct,30.53,No Ct,No Ct
A15,26.96,No Ct,No Ct,25.82
A16,No Ct,No Ct,31.26,No Ct
A17,No Ct,28.67,No Ct,30.45
A18,No Ct,No Ct,No Ct,25.29
A19,29.23,30.46,No Ct,No Ct
A2,No Ct,30.9,No Ct,No Ct
A20,28.56,28.89,31.31,No Ct
A21,29.05,No Ct,26.92,No Ct
A22,26.81,No Ct,No Ct,25.71
A23,No Ct,31.91,No Ct,25.29
A24,28.51,No Ct,30.93,30.63
A3,27.08,No Ct,No Ct,25.77
A4,No Ct,No Ct,31.21,No Ct
A5,No Ct,29.45,No Ct,29.7
A6,No Ct,No Ct,No Ct,25.21
A7,28.95,30.21,No Ct,No Ct
A8,29.24,28.66,30.74,No Ct
A9,29.45,No Ct,26.86,No Ct
B1,No Ct,33.31,27.17,No Ct
B10,No Ct,No Ct,No Ct,No Ct
B11,No Ct,30.66,No Ct,No Ct
B12,No Ct,No Ct,30.21,29.28
B13,No Ct,32.36,26.8,No Ct
B14,No Ct,28.5,No Ct,No Ct
B15,No Ct,No Ct,30.02,29.38
B16,No Ct,No Ct,No Ct,No Ct
B17,29,No Ct,No Ct,No Ct
B18,27.21,36.91,27.29,No Ct
B19,27.33,No Ct,31.26,No Ct
B2,No Ct,28.78,No Ct,No Ct
B20,27.06,No Ct,No Ct,No Ct
B21,No Ct,32.65,26.96,26.06
B22,No Ct,No Ct,No Ct,No Ct
B23,No Ct,30.8,No Ct,No Ct
B24,No Ct,No Ct,30.13,29.24
B3,No Ct,No Ct,30.36,29.1
B4,No Ct,No Ct,No Ct,No Ct
B5,29.27,No Ct,No Ct,No Ct
B6,27.23,37.52,27.57,No Ct
B7,27.32,No Ct,30.79,No Ct
B8,27.15,No Ct,No Ct,No Ct
B9,No Ct,32.35,27.23,25.75
C1,28.85,No Ct,33.17,25.05
C10,No Ct,No Ct,No Ct,No Ct
C11,No Ct,No Ct,30.21,No Ct
C12,No Ct,35.21,27.64,No Ct
C13,29.03,No Ct,32.62,25.22
C14,29.16,31,No Ct,No Ct
C15,29.26,30.13,27.29,No Ct
C16,27.48,30.71,32.65,No Ct
C17,No Ct,No Ct,26.94,30.19
C18,No Ct,No Ct,No Ct,25.87
C19,27.46,30.23,No Ct,No Ct
C2,29.42,30.88,No Ct,No Ct
C20,No Ct,32.56,No Ct,26.1
C21,27.65,32.95,31,31.46
C22,No Ct,No Ct,No Ct,No Ct
C23,No Ct,No Ct,30.46,No Ct
C24,No Ct,34.72,27.52,No Ct
C3,29.48,30.2,27.72,No Ct
C4,27.39,30.65,32.76,No Ct
C5,No Ct,No Ct,27.28,30.6
C6,No Ct,No Ct,No Ct,25.5
C7,27.12,29.82,No Ct,No Ct
C8,No Ct,31.17,No Ct,25.83
C9,27.78,32.84,30.98,31.55
D1,27.68,43.52,27.4,32.57
D10,26.8,No Ct,No Ct,25.27
D11,No Ct,33.07,No Ct,25.05
D12,29.13,No Ct,30.8,28.71
D13,27.3,41.52,27.07,34.29
D14,No Ct,30.35,No Ct,No Ct
D15,26.77,No Ct,No Ct,25.34
D16,No Ct,No Ct,30.78,No Ct
D17,No Ct,29.39,No Ct,30.06
D18,No Ct,No Ct,No Ct,25.55
D19,29.34,30.8,No Ct,No Ct
D2,No Ct,30.73,No Ct,No Ct
D20,29.25,29.61,31.03,No Ct
D21,29.11,No Ct,26.8,No Ct
D22,26.46,No Ct,No Ct,25.59
D23,No Ct,31.66,No Ct,25.37
D24,28.82,No Ct,29.96,30.17
D3,27.13,No Ct,No Ct,25.02
D4,No Ct,No Ct,30.74,No Ct
D5,No Ct,29.49,No Ct,30.22
D6,No Ct,No Ct,No Ct,25.35
D7,28.92,30.44,No Ct,No Ct
D8,28.97,29.71,31.12,No Ct
D9,29.4,No Ct,26.74,No Ct
E1,No Ct,33.82,27.21,No Ct
E10,No Ct,No Ct,No Ct,No Ct
E11,No Ct,30.48,No Ct,No Ct
E12,No Ct,No Ct,29.85,29.33
E13,No Ct,33.36,26.96,No Ct
E14,No Ct,28.3,No Ct,No Ct
E15,No Ct,No Ct,30.39,29.52
E16,No Ct,No Ct,No Ct,No Ct
E17,28.68,No Ct,No Ct,No Ct
E18,26.9,40.57,26.95,No Ct
E19,26.94,No Ct,30.75,No Ct
E2,No Ct,28.48,No Ct,No Ct
E20,27.05,No Ct,No Ct,No Ct
E21,No Ct,32.73,27,25.34
E22,No Ct,No Ct,No Ct,No Ct
E23,No Ct,30.27,No Ct,No Ct
E24,No Ct,No Ct,30.27,29.56
E3,No Ct,No Ct,30.13,29.8
E4,No Ct,No Ct,No Ct,No Ct
E5,29.14,No Ct,No Ct,No Ct
E6,27.15,38.26,27.22,No Ct
E7,27.01,No Ct,30.42,No Ct
E8,26.93,No Ct,No Ct,No Ct
E9,No Ct,32.18,26.5,25.86
F1,29.26,No Ct,33.43,25.21
F10,No Ct,No Ct,No Ct,No Ct
F11,No Ct,No Ct,30.18,No Ct
F12,No Ct,33.73,27.37,No Ct
F13,27.39,No Ct,33.58,25.21
F14,27.91,30.9,No Ct,No Ct
F15,28.56,30.16,27.62,No Ct
F16,26.88,30.1,32.54,No Ct
F17,No Ct,No Ct,26.88,30.39
F18,No Ct,No Ct,No Ct,25.47
F19,26.93,29.51,No Ct,No Ct
F2,29.11,30.76,No Ct,No Ct
F20,No Ct,31.35,No Ct,25.43
F21,27.4,32.54,31.17,30.91
F22,No Ct,No Ct,No Ct,No Ct
F23,No Ct,No Ct,30.48,No Ct
F24,No Ct,33.25,27.73,No Ct
F3,29.22,29.92,27.41,No Ct
F4,27.55,30.84,32.7,No Ct
F5,No Ct,No Ct,27.02,31.06
F6,No Ct,No Ct,No Ct,25.1
F7,26.73,29.73,No Ct,No Ct
F8,No Ct,32.12,No Ct,25.87
F9,27.44,33.49,29.26,31.84
G1,No Ct,No Ct,No Ct,No Ct
G10,No Ct,No Ct,No Ct,No Ct
G11,No Ct,No Ct,No Ct,No Ct
G12,No Ct,No Ct,No Ct,No Ct
G13,No Ct,No Ct,No Ct,No Ct
G14,No Ct,No Ct,No Ct,No Ct
G15,No Ct,No Ct,No Ct,No Ct
G16,No Ct,No Ct,No Ct,No Ct
G17,No Ct,No Ct,No Ct,No Ct
G18,No Ct,No Ct,No Ct,No Ct
G19,No Ct,No Ct,No Ct,No Ct
G2,No Ct,No Ct,No Ct,No Ct
G20,No Ct,No Ct,No Ct,No Ct
G21,No Ct,No Ct,No Ct,No Ct
G22,No Ct,No Ct,No Ct,No Ct
G23,No Ct,No Ct,No Ct,No Ct
G24,No Ct,No Ct,No Ct,No Ct
G3,No Ct,No Ct,No Ct,No Ct
G4,No Ct,No Ct,No Ct,No Ct
G5,No Ct,No Ct,No Ct,No Ct
G6,No Ct,No Ct,No Ct,No Ct
G7,No Ct,No Ct,No Ct,No Ct
G8,No Ct,No Ct,No Ct,No Ct
G9,No Ct,No Ct,No Ct,No Ct
H1,No Ct,No Ct,No Ct,No Ct
H10,No Ct,No Ct,No Ct,No Ct
H11,No Ct,No Ct,No Ct,No Ct
H12,No Ct,No Ct,No Ct,No Ct
H13,No Ct,No Ct,No Ct,No Ct
H14,No Ct,No Ct,No Ct,No Ct
H15,No Ct,No Ct,No Ct,No Ct
H16,No Ct,No Ct,No Ct,No Ct
H17,No Ct,No Ct,No Ct,No Ct
H18,No Ct,No Ct,No Ct,No Ct
H19,No Ct,No Ct,No Ct,No Ct
H2,No Ct,No Ct,No Ct,No Ct
H20,No Ct,No Ct,No Ct,No Ct
H21,No Ct,No Ct,No Ct,No Ct
H22,No Ct,No Ct,No Ct,No Ct
H23,No Ct,No Ct,No Ct,No Ct
H24,No Ct,No Ct,No Ct,No Ct
H3,No Ct,No Ct,No Ct,No Ct
H4,No Ct,No Ct,No Ct,No Ct
H5,No Ct,No Ct,No Ct,No Ct
H6,No Ct,No Ct,No Ct,No Ct
H7,No Ct,No Ct,No Ct,No Ct
H8,No Ct,No Ct,No Ct,No Ct
H9,No Ct,No Ct,No Ct,No Ct
I1,27.61,No Ct,No Ct,No Ct
I10,27.72,30.89,27.85,28.49
I11,26.9,32.29,No Ct,31.13
I12,No Ct,30.14,30.05,No Ct
I13,29.07,No Ct,No Ct,No Ct
I14,30.05,No Ct,27.44,No Ct
I15,27.52,29.21,No Ct,25.12
I16,27.16,31.46,30.31,32.58
I17,No Ct,No Ct,No Ct,No Ct
I18,No Ct,No Ct,31.11,25.42
I19,No Ct,29.86,27.91,No Ct
I2,29.05,No Ct,27.67,No Ct
I20,26.44,29.75,31.28,27.62
I21,No Ct,No Ct,No Ct,29.35
I22,27.48,30.56,28.53,28.8
I23,26.64,31.88,No Ct,32.39
I24,No Ct,30.44,30,No Ct
I3,27.97,29.52,No Ct,25.9
I4,27.17,32.82,30.75,33.7
I5,No Ct,No Ct,No Ct,No Ct
I6,No Ct,No Ct,30.53,25.48
I7,No Ct,29.67,27.69,No Ct
I8,26.23,30.65,30.51,26.98
I9,No Ct,No Ct,No Ct,29.75
J1,27.03,No Ct,No Ct,27
J10,28.66,31,30.68,No Ct
J11,27.47,No Ct,29.44,No Ct
J12,30.32,30.43,29.67,No Ct
J13,26.9,No Ct,No Ct,26.63
J14,31.08,29.24,29.8,31.62
J15,No Ct,No Ct,No Ct,25.37
J16,No Ct,30.52,29.03,25.6
J17,No Ct,31.17,30.25,No Ct
J18,No Ct,No Ct,27.68,No Ct
J19,No Ct,31.83,27.75,32.63
J2,29.6,29.26,30.86,30.79
J20,26.95,No Ct,30.22,26.87
J21,27.77,29.95,No Ct,25.64
J22,28.94,32.01,30.97,No Ct
J23,27.15,No Ct,29.73,No Ct
J24,30.65,30.34,30.26,No Ct
J3,No Ct,No Ct,No Ct,26.02
J4,No Ct,31.18,30.68,26.01
J5,No Ct,31.16,30.69,No Ct
J6,No Ct,No Ct,27.85,No Ct
J7,No Ct,32.18,27.89,32.38
J8,27.16,No Ct,30.71,26.7
J9,27.89,30.39,No Ct,25.14
K1,No Ct,29.9,28.13,No Ct
K10,27.59,No Ct,No Ct,No Ct
K11,27.11,No Ct,30.14,25.42
K12,26.73,33.9,27.64,26.43
K13,No Ct,29.76,27.39,No Ct
K14,No Ct,No Ct,No Ct,25.18
K15,28.17,29.05,No Ct,No Ct
K16,No Ct,29.58,No Ct,25.01
