Well,ct_sc2,ct_flua,ct_flub,ct_rsv
A1,27.31,40.19,26.81,31.26
A10,26.86,No Ct,No Ct,25.65
A11,No Ct,31.2,No Ct,25.51
A12,28.58,No Ct,30.7,30.36
A13,27.2,38.22,26.77,32.71
A14,No Ct,30.55,No Ct,No Ct
A15,26.92,No Ct,No Ct,25.56
A16,No Ct,No Ct,30.7,No Ct
A17,No Ct,28.66,No Ct,30.27
A18,No Ct,No Ct,No Ct,25.56
A19,29.12,30.12,No Ct,No Ct
A2,No Ct,30.24,No Ct,No Ct
A20,29.05,28.98,30.66,No Ct
A21,29.07,No Ct,26.55,No Ct
A22,26.64,No Ct,No Ct,25.88
A23,No Ct,31.15,No Ct,25.54
A24,28.85,No Ct,30.75,29.77
A3,26.9,No Ct,No Ct,25.91
A4,No Ct,No Ct,30.38,No Ct
A5,No Ct,29.22,No Ct,30.93
A6,No Ct,No Ct,No Ct,25.4
A7,28.7,30.12,No Ct,No Ct
A8,29.15,29.08,30.64,No Ct
A9,28.84,No Ct,26.7,No Ct
B1,No Ct,32.8,26.79,No Ct
B10,No Ct,No Ct,No Ct,No Ct
B11,No Ct,30.38,No Ct,No Ct
B12,No Ct,No Ct,29.75,29.98
B13,No Ct,32.66,26.43,No Ct
B14,No Ct,28.16,No Ct,No Ct
B15,No Ct,No Ct,30.06,29.84
B16,No Ct,No Ct,No Ct,No Ct
B17,29.06,No Ct,No Ct,No Ct
B18,27.13,36.75,27.09,No Ct
B19,27.19,No Ct,30.52,No Ct
B2,No Ct,28.27,No Ct,No Ct
B20,26.93,No Ct,No Ct,No Ct
B21,No Ct,32.58,26.64,26.24
B22,No Ct,No Ct,No Ct,No Ct
B23,No Ct,30.31,No Ct,No Ct
B24,No Ct,No Ct,30.09,30.07
B3,No Ct,No Ct,29.9,29.82
B4,No Ct,No Ct,No Ct,No Ct
B5,29.12,No Ct,No Ct,No Ct
B6,26.9,37.68,27.22,No Ct
B7,27.18,No Ct,30.35,No Ct
B8,26.93,No Ct,No Ct,No Ct
B9,No Ct,32.29,26.84,25.59
C1,29.5,No Ct,32.89,25.09
C10,No Ct,No Ct,No Ct,No Ct
C11,No Ct,No Ct,30.32,No Ct
C12,No Ct,34.02,27.27,No Ct
C13,29.04,No Ct,32.19,25.35
C14,29.18,30.34,No Ct,No Ct
C15,28.75,29.64,27.03,No Ct
C16,27.07,29.92,32.26,No Ct
C17,No Ct,No Ct,26.54,30.62
C18,No Ct,No Ct,No Ct,26.01
C19,27.23,29.92,No Ct,No Ct
C2,29.46,30.99,No Ct,No Ct
C20,No Ct,32.05,No Ct,25.74
C21,27.33,33.3,30.1,31.99
C22,No Ct,No Ct,No Ct,No Ct
C23,No Ct,No Ct,30.14,No Ct
C24,No Ct,34.21,26.97,No Ct
C3,29.2,30.04,27.07,No Ct
C4,27.51,30.14,32.29,No Ct
C5,No Ct,No Ct,26.81,31.07
C6,No Ct,No Ct,No Ct,25.37
C7,27.08,29.93,No Ct,No Ct
C8,No Ct,31.47,No Ct,25.89
C9,27.87,32.9,30.73,32.43
D1,27.23,39.75,26.84,34.05
D10,26.6,No Ct,No Ct,25.35
D11,No Ct,31.83,No Ct,25.01
D12,29.02,No Ct,30.07,29.08
D13,27.25,39.71,26.7,36.01
D14,No Ct,30.28,No Ct,No Ct
D15,26.78,No Ct,No Ct,25.43
D16,No Ct,No Ct,31.07,No Ct
D17,No Ct,29.22,No Ct,29.91
D18,No Ct,No Ct,No Ct,25.28
D19,29.33,30.85,No Ct,No Ct
D2,No Ct,30.52,No Ct,No Ct
D20,29.1,29.77,30.67,No Ct
D21,29.2,No Ct,26.51,No Ct
D22,26.67,No Ct,No Ct,25.43
D23,No Ct,31.3,No Ct,25.44
D24,29.15,No Ct,30.29,29.94
D3,27.16,No Ct,No Ct,24.58
D4,No Ct,No Ct,30.51,No Ct
D5,No Ct,29.12,No Ct,30.07
D6,No Ct,No Ct,No Ct,25.47
D7,28.89,30.55,No Ct,No Ct
D8,29.29,29.83,30.56,No Ct
D9,29.06,No Ct,26.48,No Ct
E1,No Ct,32.93,26.43,No Ct
E10,No Ct,No Ct,No Ct,No Ct
E11,No Ct,30.4,No Ct,No Ct
E12,No Ct,No Ct,29.45,29.16
E13,No Ct,33.26,26.6,No Ct
E14,No Ct,28.11,No Ct,No Ct
E15,No Ct,No Ct,29.25,29.88
E16,No Ct,No Ct,No Ct,No Ct
E17,28.96,No Ct,No Ct,No Ct
E18,26.59,38,26.68,No Ct
E19,26.71,No Ct,30.21,No Ct
E2,No Ct,28.25,No Ct,No Ct
E20,27.08,No Ct,No Ct,No Ct
E21,No Ct,33.13,26.51,25.55
E22,No Ct,No Ct,No Ct,No Ct
E23,No Ct,30.1,No Ct,No Ct
E24,No Ct,No Ct,29.92,30.03
E3,No Ct,No Ct,29.67,30.03
E4,No Ct,No Ct,No Ct,No Ct
E5,29.32,No Ct,No Ct,No Ct
E6,26.6,36.61,26.72,No Ct
E7,27.21,No Ct,30.36,No Ct
E8,26.57,No Ct,No Ct,No Ct
E9,No Ct,32.5,26.18,25.54
F1,29.39,No Ct,32.46,25.44
F10,No Ct,No Ct,No Ct,No Ct
F11,No Ct,No Ct,30.13,No Ct
F12,No Ct,33.92,26.98,No Ct
F13,27.2,No Ct,33.09,25.5
F14,27.35,30.31,No Ct,No Ct
F15,28.09,29.64,27.01,No Ct
F16,27.11,29.81,32.5,No Ct
F17,No Ct,No Ct,26.58,30.62
F18,No Ct,No Ct,No Ct,25.3
F19,27.01,29.52,No Ct,No Ct
F2,28.9,30.49,No Ct,No Ct
F20,No Ct,31.14,No Ct,25.77
F21,27.43,32.75,30.49,32.89
F22,No Ct,No Ct,No Ct,No Ct
F23,No Ct,No Ct,30.1,No Ct
F24,No Ct,33.42,26.91,No Ct
F3,28.91,29.83,27,No Ct
F4,27.34,29.96,32.36,No Ct
F5,No Ct,No Ct,26.42,31.32
F6,No Ct,No Ct,No Ct,25.52
F7,26.99,29.57,No Ct,No Ct
F8,No Ct,31.34,No Ct,25.88
F9,27.25,32.02,29.98,31.4
G1,No Ct,No Ct,No Ct,No Ct
G10,No Ct,No Ct,No Ct,No Ct
G11,No Ct,No Ct,No Ct,No Ct
G12,No Ct,No Ct,No Ct,No Ct
G13,No Ct,No Ct,No Ct,No Ct
G14,No Ct,No Ct,No Ct,No Ct
G15,No Ct,No Ct,No Ct,No Ct
G16,No Ct,No Ct,No Ct,No Ct
G17,No Ct,No Ct,No Ct,No Ct
G18,No Ct,No Ct,No Ct,No Ct
G19,No Ct,No Ct,No Ct,No Ct
G2,No Ct,No Ct,No Ct,No Ct
