well,ct
A1,26.73
F17,25.19
E17,26.92
D17,No Ct
C17,25.8
B17,26.96
A17,No Ct
P16,26.59
O16,25.47
N16,25.53
G17,25.68
M16,25.26
K16,25.77
J16,25.27
I16,No Ct
H16,27.03
G16,25.6
F16,27.05
E16,No Ct
D16,No Ct
C16,27.16
L16,No Ct
B16,No Ct
H17,26.47
J17,No Ct
N18,No Ct
M18,26.71
L18,No Ct
K18,No Ct
J18,26.38
I18,No Ct
H18,26.56
G18,25.79
F18,No Ct
I17,26.44
E18,No Ct
C18,No Ct
B18,No Ct
A18,25.64
P17,26.28
O17,25.87
N17,No Ct
M17,No Ct
L17,26.48
K17,No Ct
D18,25.45
O18,26.08
A16,No Ct
O15,25.79
F14,No Ct
E14,27.32
D14,26.05
C14,No Ct
B14,26.79
A14,25.77
P13,25.73
O13,25.6
N13,25.45
G14,25.72
M13,No Ct
K13,24.96
J13,No Ct
I13,25.08
H13,25.65
G13,25.61
F13,No Ct
E13,No Ct
D13,27.8
C13,No Ct
L13,25.37
P15,27.13
H14,25.5
J14,No Ct
N15,No Ct
M15,26.05
L15,25.82
K15,No Ct
J15,25.74
I15,25.34
H15,26.43
G15,25.38
F15,27.03
I14,26.09
E15,No Ct
C15,27.38
B15,37.36
A15,No Ct
P14,24.35
O14,25.15
N14,25.51
M14,No Ct
L14,26.5
K14,25.79
D15,No Ct
B13,No Ct
P18,26.81
B19,No Ct
F23,No Ct
E23,27.81
D23,No Ct
C23,No Ct
B23,27.79
A23,No Ct
P22,26.77
O22,25.52
N22,25.32
G23,25.41
M22,25.43
K22,25.29
J22,25.65
I22,No Ct
H22,No Ct
G22,25.46
F22,No Ct
E22,No Ct
D22,25.34
C22,No Ct
L22,No Ct
B22,No Ct
H23,27.01
J23,No Ct
N24,No Ct
M24,No Ct
L24,26.22
K24,No Ct
J24,No Ct
I24,26.25
H24,26.53
G24,25.59
F24,No Ct
I23,No Ct
E24,25.34
C24,No Ct
B24,25.65
A24,No Ct
P23,26.62
O23,25.88
N23,26.55
M23,No Ct
L23,No Ct
K23,26.31
D24,No Ct
A19,No Ct
A22,25.33
O21,25.39
F20,27.9
E20,No Ct
D20,No Ct
C20,28.41
B20,No Ct
A20,No Ct
P19,26.5
O19,25.45
N19,No Ct
G20,25.5
M19,No Ct
K19,No Ct
J19,No Ct
I19,No Ct
H19,26.46
G19,25.54
F19,No Ct
E19,No Ct
D19,No Ct
C19,No Ct
L19,No Ct
P21,26.03
H20,26.37
J20,No Ct
N21,No Ct
M21,No Ct
L21,No Ct
K21,No Ct
J21,No Ct
I21,No Ct
H21,26.85
G21,25.75
F21,No Ct
I20,No Ct
E21,No Ct
C21,No Ct
B21,No Ct
A21,No Ct
P20,26.64
O20,25.65
N20,26.08
M20,No Ct
L20,No Ct
K20,26.44
D21,No Ct
A13,26.46
P12,26.74
O12,25.2
E5,27.18
D5,37.49
C5,25.7
B5,27.22
A5,No Ct
P4,26.6
O4,25.59
N4,25.86
M4,25.41
F5,25.46
L4,No Ct
J4,25.31
I4,No Ct
