well,ct
H4,26.92
G4,25.73
F4,27.16
E4,No Ct
D4,No Ct
C4,27.35
B4,No Ct
K4,25.55
A4,No Ct
G5,25.83
I5,26.2
M6,27
L6,No Ct
K6,No Ct
J6,26.27
I6,No Ct
H6,26.55
G6,25.55
F6,No Ct
E6,No Ct
H5,26.93
D6,25.63
B6,No Ct
A6,25.61
P5,26.68
O5,25.91
N5,No Ct
M5,No Ct
L5,27.03
K5,No Ct
J5,No Ct
C6,No Ct
N6,No Ct
P3,26.68
N3,No Ct
E2,27.01
D2,26.14
C2,No Ct
B2,26.86
A2,25.79
P1,25.84
O1,25.71
N1,25.37
M1,No Ct
F2,No Ct
L1,25.38
J1,No Ct
I1,25.26
H1,25.42
G1,25.29
F1,No Ct
E1,No Ct
D1,27.48
C1,No Ct
B1,No Ct
K1,25.1
O3,25.79
G2,25.54
I2,25.94
M3,26.37
L3,26.11
K3,No Ct
J3,26.24
I3,25.63
H3,26.75
G3,25.45
F3,27.45
E3,No Ct
H2,25.47
D3,No Ct
B3,No Ct
A3,No Ct
P2,24.69
O2,25.54
N2,25.88
M2,No Ct
L2,26.3
K2,25.55
J2,No Ct
C3,27.32
O6,26.06
P6,27.16
A7,No Ct
F11,No Ct
E11,28.02
D11,No Ct
C11,No Ct
B11,27.62
A11,No Ct
P10,27.11
O10,25.8
N10,25.47
G11,25.63
M10,25.41
K10,25.08
J10,25.41
I10,No Ct
H10,26.71
G10,25.57
F10,No Ct
E10,No Ct
D10,25.29
C10,No Ct
L10,No Ct
B10,No Ct
H11,26.66
J11,No Ct
N12,No Ct
M12,No Ct
L12,25.56
K12,No Ct
J12,No Ct
I12,25.99
H12,26.19
G12,25.29
F12,No Ct
I11,No Ct
E12,25.33
C12,No Ct
B12,25.42
A12,No Ct
P11,26.72
O11,25.58
N11,26.21
M11,No Ct
L11,No Ct
K11,26.16
D12,No Ct
A10,25.29
P9,27.24
O9,26.14
E8,No Ct
D8,No Ct
C8,28.62
B8,No Ct
A8,No Ct
P7,26.75
O7,25.61
N7,No Ct
M7,No Ct
F8,28.1
L7,No Ct
J7,No Ct
I7,No Ct
H7,25.95
G7,24.29
F7,No Ct
E7,No Ct
D7,No Ct
C7,No Ct
B7,No Ct
K7,No Ct
G8,25.4
H8,26.68
I8,No Ct
N9,No Ct
M9,No Ct
L9,No Ct
K9,No Ct
J9,No Ct
I9,No Ct
H9,26.43
G9,25.47
F9,No Ct
E9,No Ct
D9,No Ct
C9,No Ct
B9,No Ct
A9,No Ct
P8,26.39
O8,24.84
N8,26.01
M8,No Ct
L8,No Ct
K8,26.26
J8,No Ct
O24,25.29
P24,26.58
