well,ct
A1,28.44
F17,No Ct
E17,No Ct
D17,28.44
C17,No Ct
B17,No Ct
A17,28.59
P16,27.1
O16,25.64
N16,26.79
G17,25.7
M16,26.23
K16,26.13
J16,26.22
I16,26.87
H16,26.7
G16,25.66
F16,No Ct
E16,28.49
D16,No Ct
C16,No Ct
L16,27.5
B16,28.29
H17,26.67
J17,No Ct
N18,No Ct
M18,27.11
L18,26.31
K18,No Ct
J18,27.2
I18,26.2
H18,26.61
G18,25.49
F18,No Ct
I17,29.18
E18,No Ct
C18,No Ct
B18,No Ct
A18,No Ct
P17,26.58
O17,25.56
N17,No Ct
M17,No Ct
L17,29.21
K17,No Ct
D18,No Ct
O18,25.87
A16,No Ct
O15,25.95
F14,No Ct
E14,No Ct
D14,No Ct
C14,No Ct
B14,No Ct
A14,No Ct
P13,25.69
O13,25.72
N13,28.96
G14,25.54
M13,29.62
K13,28.75
J13,29.76
I13,No Ct
H13,25.38
G13,24.78
F13,28.22
E13,No Ct
D13,28.22
C13,28.71
L13,No Ct
P15,27.17
H14,25.64
J14,27.63
N15,No Ct
M15,No Ct
L15,30.43
K15,No Ct
J15,No Ct
I15,29.26
H15,26.37
G15,25.41
F15,25.12
I14,No Ct
E15,29.28
C15,24.81
B15,29.24
A15,No Ct
P14,25.78
O14,25.73
N14,No Ct
M14,27.55
L14,No Ct
K14,No Ct
D15,No Ct
B13,No Ct
P18,27
B19,No Ct
F23,No Ct
E23,No Ct
D23,26.24
C23,No Ct
B23,No Ct
A23,25.39
P22,26.86
O22,25.91
N22,No Ct
G23,25.61
M22,No Ct
K22,No Ct
J22,No Ct
I22,29.16
H22,26.79
G22,25.61
F22,26.12
E22,No Ct
D22,No Ct
C22,26.48
L22,28.93
B22,No Ct
H23,26.75
J23,No Ct
N24,No Ct
M24,28.93
L24,No Ct
K24,No Ct
J24,28.62
I24,No Ct
H24,26.67
G24,25.86
F24,29.6
I23,29.3
E24,No Ct
C24,29.79
B24,No Ct
A24,26.3
P23,26.78
O23,25.76
N23,26.43
M23,No Ct
L23,29.32
K23,26.41
D24,26.27
A19,25.94
A22,No Ct
O21,25.9
F20,No Ct
E20,28.79
D20,25.98
C20,No Ct
B20,29.27
A20,26.45
P19,26.54
O19,25.34
N19,28.39
G20,25.74
M19,No Ct
K19,28.86
J19,No Ct
I19,28.63
H19,26.48
G19,25.55
F19,No Ct
E19,No Ct
D19,25.3
C19,No Ct
L19,28.14
P21,27
H20,26.59
J20,No Ct
N21,27.32
M21,25.53
L21,No Ct
K21,27.18
J21,25.48
I21,No Ct
H21,26.49
G21,25.71
F21,25.77
I20,27.36
E21,28.98
C21,26.38
B21,29.89
A21,No Ct
P20,27.06
O20,26.05
N20,No Ct
M20,No Ct
L20,27.53
K20,No Ct
D21,No Ct
A13,29.51
P12,26.87
O12,25.79
E5,No Ct
D5,29.14
C5,No Ct
B5,No Ct
A5,28.81
P4,26.88
O4,25.82
N4,27.15
