well,ct
M4,26.62
F5,No Ct
L4,27.1
J4,25.56
I4,25.85
H4,26.61
G4,25.97
F4,No Ct
E4,28.03
D4,No Ct
C4,No Ct
B4,27.89
K4,26.63
A4,No Ct
G5,25.92
I5,28.99
M6,27.54
L6,26.76
K6,No Ct
J6,27.24
I6,26.28
H6,26.25
G6,25.55
F6,No Ct
E6,No Ct
H5,26.71
D6,No Ct
B6,No Ct
A6,No Ct
P5,26.93
O5,25.98
N5,No Ct
M5,No Ct
L5,29.6
K5,No Ct
J5,No Ct
C6,No Ct
N6,No Ct
P3,27.1
N3,No Ct
E2,No Ct
D2,No Ct
C2,No Ct
B2,No Ct
A2,No Ct
P1,26.04
O1,25.94
N1,28.82
M1,30.17
F2,No Ct
L1,No Ct
J1,30.01
I1,No Ct
H1,25.35
G1,24.75
F1,28.04
E1,No Ct
D1,28.26
C1,28.36
B1,No Ct
K1,28.78
O3,25.83
G2,25.63
I2,No Ct
M3,No Ct
L3,30.32
K3,No Ct
J3,No Ct
I3,29.16
H3,26.39
G3,25.69
F3,25.08
E3,29.37
H2,26.1
D3,No Ct
B3,29.53
A3,No Ct
P2,26.03
O2,25.77
N2,No Ct
M2,28.06
L2,No Ct
K2,No Ct
J2,27.57
C3,25.5
O6,25.86
P6,26.74
A7,25.89
F11,No Ct
E11,No Ct
D11,26.14
C11,No Ct
B11,No Ct
A11,26.24
P10,26.83
O10,25.58
N10,No Ct
G11,25.93
M10,No Ct
K10,No Ct
J10,No Ct
I10,28.47
H10,26.58
G10,25.54
F10,25.78
E10,No Ct
D10,No Ct
C10,26.31
L10,28.71
B10,No Ct
H11,26.94
J11,No Ct
N12,No Ct
M12,28.9
L12,No Ct
K12,No Ct
J12,28.61
I12,No Ct
H12,26.47
G12,25.35
F12,29.15
I11,29.15
E12,No Ct
C12,29.73
B12,No Ct
A12,26.23
P11,26.66
O11,25.6
N11,26.21
M11,No Ct
L11,29.07
K11,26.14
D12,25.77
A10,No Ct
P9,26.85
O9,25.63
E8,29.33
D8,26.29
C8,No Ct
B8,29.19
A8,26.08
P7,26.59
O7,25.36
N7,27.68
M7,No Ct
F8,No Ct
L7,27.73
J7,No Ct
I7,27.71
H7,25.61
G7,25.46
F7,No Ct
E7,No Ct
D7,25.77
C7,No Ct
B7,No Ct
K7,27.6
G8,25.7
H8,26.52
I8,27.23
N9,27.29
M9,25.57
L9,No Ct
K9,27.04
J9,25.23
I9,No Ct
H9,26.55
G9,25.68
F9,25.52
E9,29.23
D9,No Ct
C9,25.94
B9,29.16
A9,No Ct
P8,26.87
O8,25.71
N8,No Ct
M8,No Ct
L8,26.84
K8,No Ct
J8,No Ct
O24,25.11
P24,26.74
