well,ct
A1,26.66
F17,25.05
E17,26.81
D17,No Ct
C17,25.47
B17,27.04
A17,No Ct
P16,26.63
O16,25.33
N16,25.65
G17,25.38
M16,24.98
K16,25.39
J16,25.14
I16,No Ct
H16,26.58
G16,25.5
F16,27.04
E16,No Ct
D16,No Ct
C16,27.88
L16,No Ct
B16,No Ct
H17,26.58
J17,No Ct
N18,No Ct
M18,26.32
L18,No Ct
K18,No Ct
J18,26.38
I18,No Ct
H18,26.39
G18,25.54
F18,No Ct
I17,26.24
E18,No Ct
C18,No Ct
B18,No Ct
A18,25.45
P17,26.25
O17,25.36
N17,No Ct
M17,No Ct
L17,26.53
K17,No Ct
D18,25.46
O18,25.72
A16,No Ct
O15,25.82
F14,No Ct
E14,27.31
D14,25.94
C14,No Ct
B14,26.67
A14,25.57
P13,25.51
O13,25.35
N13,25.34
G14,25.5
M13,No Ct
K13,25.11
J13,No Ct
I13,25.36
H13,25.51
G13,25.24
F13,No Ct
E13,No Ct
D13,27.42
C13,No Ct
L13,24.99
P15,27.11
H14,25.48
J14,No Ct
N15,No Ct
M15,26.08
L15,25.94
K15,No Ct
J15,25.49
I15,25.33
H15,26.35
G15,25.29
F15,26.78
I14,26.15
E15,No Ct
C15,27.28
B15,No Ct
A15,No Ct
P14,24.39
O14,25.3
N14,25.57
M14,No Ct
L14,26.38
K14,25.79
D15,No Ct
B13,No Ct
P18,26.96
B19,No Ct
F23,No Ct
E23,27.57
D23,No Ct
C23,No Ct
B23,28.19
A23,No Ct
P22,26.49
O22,25.43
N22,25.31
G23,25.27
M22,25.36
K22,25.03
J22,25.05
I22,No Ct
H22,27.02
G22,25.65
F22,No Ct
E22,No Ct
D22,25.27
C22,No Ct
L22,No Ct
B22,No Ct
H23,26.48
J23,No Ct
N24,No Ct
M24,No Ct
L24,26.44
K24,No Ct
J24,No Ct
I24,26.12
H24,26.52
G24,25.48
F24,No Ct
I23,No Ct
E24,25.25
C24,No Ct
B24,25.38
A24,No Ct
P23,26.91
O23,25.78
N23,26.48
M23,No Ct
L23,No Ct
K23,26.05
D24,No Ct
A19,No Ct
A22,25.23
O21,25.36
F20,28.03
E20,No Ct
D20,No Ct
C20,28.08
B20,No Ct
A20,No Ct
P19,26.38
O19,25.41
N19,No Ct
G20,25.56
M19,37.5
K19,No Ct
J19,No Ct
I19,No Ct
H19,26.5
G19,25.58
F19,No Ct
E19,No Ct
D19,No Ct
C19,No Ct
L19,No Ct
P21,25.77
H20,26.92
J20,No Ct
N21,No Ct
M21,No Ct
L21,No Ct
K21,No Ct
J21,No Ct
I21,No Ct
H21,26.76
G21,25.54
F21,No Ct
I20,No Ct
E21,No Ct
C21,No Ct
B21,No Ct
A21,No Ct
P20,26.49
O20,25.51
N20,26.21
M20,No Ct
L20,No Ct
K20,26.14
D21,No Ct
A13,26.35
P12,26.57
O12,25.13
E5,27
D5,No Ct
C5,25.67
B5,27.04
A5,No Ct
P4,26.82
O4,25.56
N4,25.93
M4,25.28
F5,25.21
L4,No Ct
J4,25.18
I4,No Ct
H4,26.26
G4,25.44
F4,27.11
E4,No Ct
D4,No Ct
C4,27.37
B4,No Ct
K4,25.75
A4,No Ct
G5,25.81
I5,26.09
M6,26.73
L6,No Ct
K6,No Ct
J6,26.24
I6,37.33
H6,26.4
G6,25.37
F6,No Ct
E6,No Ct
H5,26.59
D6,25.28
B6,No Ct
A6,25.34
P5,26.59
O5,25.86
N5,No Ct
M5,No Ct
L5,26.82
K5,No Ct
J5,No Ct
C6,No Ct
N6,No Ct
P3,27.02
N3,No Ct
E2,27.13
D2,26.23
C2,No Ct
B2,26.81
A2,25.6
P1,25.69
O1,25.66
N1,25.33
M1,No Ct
F2,No Ct
L1,25.45
J1,No Ct
I1,25.16
H1,25.31
G1,25.41
F1,No Ct
E1,No Ct
D1,27.53
C1,No Ct
B1,No Ct
K1,25.11
O3,26
G2,25.41
I2,25.91
M3,26.32
L3,26.16
K3,No Ct
J3,25.6
I3,25.57
H3,26.41
G3,25.54
F3,27.36
E3,No Ct
H2,25.61
D3,No Ct
B3,37.41
A3,No Ct
P2,24.61
O2,25.51
N2,25.79
M2,No Ct
L2,26.25
K2,25.64
J2,No Ct
C3,27.28
O6,25.7
P6,27.06
A7,No Ct
F11,No Ct
E11,27.75
D11,No Ct
C11,No Ct
B11,27.74
A11,No Ct
P10,26.98
O10,25.63
N10,25.29
G11,25.77
M10,25.13
K10,25.14
J10,24.89
I10,No Ct
H10,26.17
G10,25.51
F10,No Ct
E10,No Ct
D10,25.18
C10,No Ct
L10,No Ct
B10,No Ct
H11,26.55
J11,No Ct
N12,No Ct
M12,No Ct
L12,25.61
K12,No Ct
J12,No Ct
I12,26.08
H12,26.45
G12,25.14
F12,No Ct
I11,No Ct
E12,24.91
C12,No Ct
B12,25.43
A12,No Ct
P11,26.78
O11,25.74
N11,26.39
M11,No Ct
L11,No Ct
K11,25.89
D12,No Ct
A10,25.16
P9,27
O9,25.64
E8,No Ct
D8,No Ct
C8,28.31
B8,No Ct
A8,No Ct
P7,27
O7,25.68
N7,No Ct
M7,No Ct
F8,27.89
L7,No Ct
J7,No Ct
I7,No Ct
H7,25.84
G7,24.13
F7,No Ct
E7,No Ct
D7,No Ct
C7,No Ct
B7,No Ct
K7,No Ct
G8,25.68
H8,26.41
I8,37.44
N9,No Ct
M9,No Ct
L9,No Ct
K9,No Ct
J9,No Ct
I9,No Ct
H9,26.54
G9,25.35
F9,No Ct
E9,No Ct
D9,No Ct
C9,No Ct
B9,No Ct
A9,No Ct
P8,26.29
O8,24.9
N8,25.97
M8,No Ct
L8,No Ct
K8,25.88
J8,No Ct
O24,25.27
P24,26.6
