well,ct
F19,No Ct
E19,No Ct
D19,25.29
C19,No Ct
L19,28.53
P21,26.46
H20,26.56
J20,No Ct
N21,26.96
M21,25.33
L21,No Ct
K21,27.35
J21,25.31
I21,No Ct
H21,26.51
G21,25.49
F21,25.64
I20,27.32
E21,29.01
C21,25.93
B21,29.41
A21,No Ct
P20,26.94
O20,25.55
N20,No Ct
M20,No Ct
L20,27.65
K20,No Ct
D21,No Ct
A13,29.54
P12,26.58
O12,25.47
E5,No Ct
D5,29.18
C5,No Ct
B5,No Ct
A5,28.74
P4,26.47
O4,25.76
N4,26.94
M4,26.61
F5,No Ct
L4,27.07
J4,25.53
I4,25.62
H4,26.8
G4,25.67
F4,No Ct
E4,28.36
D4,No Ct
C4,No Ct
B4,27.59
K4,26.65
A4,No Ct
G5,25.6
I5,28.61
M6,27.3
L6,26.61
K6,No Ct
J6,26.78
I6,26.05
H6,26.34
G6,25.45
F6,No Ct
E6,No Ct
H5,26.51
D6,No Ct
B6,No Ct
A6,No Ct
P5,26.67
O5,25.71
N5,No Ct
M5,No Ct
L5,28.61
K5,No Ct
J5,No Ct
C6,No Ct
N6,No Ct
P3,26.76
N3,No Ct
E2,No Ct
D2,No Ct
C2,No Ct
B2,No Ct
A2,No Ct
P1,25.71
O1,25.51
N1,28.54
M1,30.28
F2,No Ct
L1,No Ct
J1,30
I1,No Ct
H1,25.51
G1,24.98
F1,28.71
E1,No Ct
D1,28.96
C1,29.04
B1,No Ct
K1,28.62
O3,25.77
G2,25.4
I2,No Ct
M3,No Ct
L3,30.15
K3,No Ct
J3,No Ct
I3,29.41
H3,26.14
G3,25.55
F3,24.9
E3,29.19
H2,25.79
D3,No Ct
B3,29.37
A3,No Ct
P2,25.78
O2,25.74
N2,No Ct
M2,27.74
L2,No Ct
K2,No Ct
J2,28
C3,25.32
O6,25.6
P6,26.6
A7,25.78
F11,No Ct
E11,No Ct
D11,26.09
C11,No Ct
B11,No Ct
A11,25.97
P10,26.68
O10,25.47
N10,No Ct
G11,25.38
M10,No Ct
K10,No Ct
J10,No Ct
I10,28.51
H10,26.32
G10,25.4
F10,25.71
E10,No Ct
D10,No Ct
C10,26.04
L10,28.74
B10,No Ct
H11,26.64
J11,No Ct
N12,No Ct
M12,28.43
L12,No Ct
K12,No Ct
J12,28.42
I12,No Ct
H12,26.77
G12,25.21
F12,28.81
I11,28.96
E12,No Ct
C12,29.78
B12,No Ct
A12,25.73
P11,26.56
O11,25.5
N11,26.09
M11,No Ct
L11,28.84
K11,25.98
D12,26.04
A10,No Ct
P9,26.46
O9,25.35
E8,28.83
D8,25.98
C8,No Ct
B8,29.08
A8,25.76
P7,26.56
O7,25.56
N7,28.24
M7,No Ct
F8,No Ct
L7,28.43
J7,No Ct
I7,27.56
H7,25.52
G7,25.36
F7,No Ct
E7,No Ct
D7,25.64
C7,No Ct
B7,No Ct
K7,27.71
G8,25.4
H8,26.15
I8,27.01
N9,27.03
M9,25.3
L9,No Ct
K9,26.86
J9,25.16
I9,No Ct
H9,26.43
G9,25.33
F9,25.82
E9,29.19
D9,No Ct
C9,25.92
B9,28.72
A9,No Ct
P8,26.56
O8,25.63
N8,No Ct
M8,No Ct
L8,26.42
K8,No Ct
J8,No Ct
O24,25.19
P24,26.5
