well,ct
A1,28.13
F17,No Ct
E17,No Ct
D17,28.99
C17,No Ct
B17,No Ct
A17,29.01
P16,26.59
O16,25.59
N16,26.89
G17,25.35
M16,26.42
K16,26.74
J16,26.12
I16,26.86
H16,26.46
G16,25.33
F16,No Ct
E16,28.2
D16,No Ct
C16,No Ct
L16,27.18
B16,28.34
H17,26.49
J17,No Ct
N18,No Ct
M18,27.27
L18,26.26
K18,No Ct
J18,27.06
I18,26.18
H18,26.47
G18,25.46
F18,No Ct
I17,29.04
E18,No Ct
C18,No Ct
B18,No Ct
A18,No Ct
P17,26.58
O17,25.49
N17,No Ct
M17,No Ct
L17,29.02
K17,No Ct
D18,No Ct
O18,25.43
A16,No Ct
O15,25.42
F14,No Ct
E14,No Ct
D14,No Ct
C14,No Ct
B14,No Ct
A14,No Ct
P13,25.57
O13,25.34
N13,28.7
G14,25.42
M13,29.77
K13,28.47
J13,30.04
I13,No Ct
H13,25.51
G13,24.78
F13,28.22
E13,No Ct
D13,27.94
C13,28.52
L13,No Ct
P15,26.43
H14,25.44
J14,27.62
N15,No Ct
M15,No Ct
L15,30.52
K15,No Ct
J15,No Ct
I15,29.75
H15,26.46
G15,25.46
F15,24.92
I14,No Ct
E15,29.12
C15,25.01
B15,29.13
A15,No Ct
P14,25.68
O14,25.71
N14,No Ct
M14,27.37
L14,No Ct
K14,No Ct
D15,No Ct
B13,No Ct
P18,26.52
B19,No Ct
F23,No Ct
E23,No Ct
D23,26.12
C23,No Ct
B23,No Ct
A23,25.73
P22,26.64
O22,25.67
N22,No Ct
G23,25.64
M22,No Ct
K22,37.19
J22,No Ct
I22,28.83
H22,26.72
G22,25.34
F22,25.71
E22,No Ct
D22,No Ct
C22,26.16
L22,28.63
B22,No Ct
H23,26.63
J23,No Ct
N24,No Ct
M24,28.92
L24,No Ct
K24,No Ct
J24,28.47
I24,No Ct
H24,26.43
G24,25.44
F24,29.24
I23,29.04
E24,No Ct
C24,29.45
B24,No Ct
A24,25.98
P23,26.47
O23,25.47
N23,26.1
M23,No Ct
L23,29.14
K23,25.95
D24,25.85
A19,25.84
A22,No Ct
O21,25.47
F20,No Ct
E20,29.02
D20,26.06
C20,No Ct
B20,29.05
A20,26.18
P19,26.82
O19,25.52
N19,28.61
G20,25.35
M19,No Ct
K19,28.33
J19,No Ct
I19,28.23
H19,26.38
G19,25.23
